,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L2029,1.1575197e-05,3.834095e-06,3.754627e-06,2.3699104e-06,2.012508e-06,1.166889e-06,2.6266207e-09,5.3589756e-06,8.027346e-07,1.1089287e-07,1.6930426e-07,8.0843165e-08,,,,,,,,,,,
L3121,2.4606416e-06,5.2213305e-05,2.4472422e-05,2.4978071e-05,3.920014e-05,6.3512125e-06,1.1670985e-05,2.4141045e-05,3.435125e-07,8.7798835e-06,7.576644e-06,7.0495444e-06,1.1699332e-05,3.728007e-05,1.9963481e-06,3.2653916e-06,1.4824822e-05,1.1065771e-05,2.3252796e-06,1.6059785e-06,8.35571e-08,1.0059506e-05,2.1220767e-06
L735,0.00010748464,4.2345317e-05,6.746559e-06,1.0031916e-05,2.2379449e-05,1.4513207e-05,1.4579855e-06,4.4023793e-05,2.1727872e-05,2.5775458e-05,2.7694914e-05,2.231769e-05,4.4512853e-05,4.199322e-05,3.6995625e-06,1.6608974e-06,1.9258412e-05,4.209054e-06,4.9216906e-06,3.1669624e-06,4.5169145e-08,1.0221673e-05,9.456649e-06
L736,0.00026795827,6.678165e-05,1.45968515e-05,4.1850377e-05,4.8866612e-05,2.6032096e-05,5.029724e-06,5.3650234e-05,3.3824355e-05,4.0043145e-05,4.0257815e-05,3.3304677e-05,6.372249e-05,5.502149e-05,6.4341584e-06,2.8611394e-06,2.545584e-05,1.0813121e-05,8.405885e-06,5.1809475e-06,8.882489e-08,1.0050251e-05,2.1675369e-05
L737,0.00018758932,6.873638e-05,1.3775425e-05,9.668525e-06,3.5395264e-05,2.4857116e-05,3.0416995e-06,7.4510346e-05,3.5702134e-05,4.277844e-05,4.4304295e-05,3.569445e-05,6.797421e-05,6.144773e-05,6.1856117e-06,2.5525223e-06,2.727157e-05,5.90703e-06,8.055591e-06,4.9881637e-06,8.6962245e-08,1.32928835e-05,2.5705085e-05
L770,0.0004159147,4.368066e-05,3.4640776e-05,0.00019086176,3.1307572e-05,9.797513e-07,9.422423e-06,5.4161996e-05,1.1693453e-05,2.4379697e-06,2.1960586e-06,1.3504177e-08,1.077191e-05,9.090407e-06,2.338551e-06,7.611234e-07,1.9101426e-06,3.1786272e-05,2.5606714e-06,1.1965167e-06,5.47152e-08,5.5055134e-06,1.6171485e-05
L771,0.00043669797,2.7619652e-05,2.0998763e-05,3.6303187e-05,2.9376592e-05,3.8926955e-06,8.395407e-06,5.4841395e-05,8.537085e-06,7.111812e-07,1.6450649e-06,7.3830597e-07,8.556643e-06,7.619383e-06,9.888317e-07,9.571668e-07,1.2774253e-06,2.8933515e-05,9.384239e-07,3.5192352e-07,2.9685907e-08,5.8590667e-06,1.1022319e-05
L811,9.45346e-05,1.7799437e-05,1.907209e-05,0.00016818638,8.7320106e-05,5.6331046e-06,1.9883737e-05,7.145712e-05,7.019844e-07,2.646586e-06,3.871741e-06,1.6230624e-06,1.108041e-06,2.5728019e-05,4.1413587e-06,3.9327424e-06,6.3700136e-06,3.756769e-05,5.2067917e-06,3.0281954e-06,4.004687e-08,2.325396e-05,2.9006042e-06
L885,0.00022398715,0.00075314566,2.8509297e-05,2.0364649e-05,2.457085e-05,1.081801e-05,1.9388972e-06,1.5363446e-05,6.639748e-06,3.8807048e-06,2.3860484e-06,9.498326e-07,3.7788413e-06,7.3504634e-07,2.9716175e-06,1.4367979e-06,2.8945506e-06,4.140893e-07,4.871865e-06,3.208057e-06,3.9231963e-08,7.1955146e-06,8.789008e-06
L886,0.0002026261,0.0007603752,2.278213e-05,1.5682075e-05,1.9151368e-05,8.457922e-06,1.673121e-06,1.0502408e-05,5.4194825e-06,3.0612573e-06,2.048444e-06,8.0198515e-07,3.2812823e-06,6.428454e-07,2.4701003e-06,1.1351658e-06,2.4609035e-06,3.5495032e-07,3.926456e-06,2.5099143e-06,3.5157427e-08,5.88072e-06,7.233466e-06
L2314,2.4971552e-05,5.3085387e-08,6.47828e-06,6.175367e-06,7.569324e-07,6.8210065e-06,1.9625295e-06,6.460119e-05,1.329463e-06,1.6151462e-06,3.634463e-05,4.9895607e-07,2.44705e-06,1.9238796e-06,7.497147e-08,3.061723e-07,3.7973514e-05,2.9238872e-06,8.547213e-07,2.8384384e-06,4.814472e-06,6.2119216e-07,8.3842315e-07
L2315,2.3555942e-05,5.005859e-08,6.110873e-06,5.82519e-06,7.143244e-07,6.4345077e-06,1.8517021e-06,2.5942922e-05,1.3029203e-06,1.5834812e-06,6.40261e-06,4.982576e-07,2.443092e-06,1.9215513e-06,7.4505806e-08,3.0570664e-07,3.7916005e-05,2.9189978e-06,8.530915e-07,2.8340146e-06,4.8070215e-06,6.2026083e-07,8.374918e-07
L2316,1.0444201e-06,2.2118911e-09,2.7104397e-07,2.584129e-07,3.169407e-08,2.8542127e-07,8.20728e-08,1.1508237e-06,5.782931e-08,7.022754e-08,2.8405339e-07,2.2118911e-08,1.08382665e-07,8.530333e-08,3.3178367e-09,1.3562385e-08,1.6828126e-06,1.2962846e-07,3.7893187e-08,1.2590317e-07,2.1336018e-07,2.7532224e-08,3.7194695e-08
L2317,4.9354276e-07,1.0477379e-09,1.2810051e-07,1.2209057e-07,1.4944817e-08,1.348526e-07,3.8795406e-08,5.438487e-07,2.7313945e-08,3.3178367e-08,1.3425597e-07,1.0433723e-08,5.1237294e-08,4.0294253e-08,1.5570549e-09,6.388291e-09,7.9520396e-07,6.124901e-08,1.7898856e-08,5.950278e-08,1.0083022e-07,1.3009412e-08,1.7564162e-08
L2320,2.2166176e-05,4.726462e-08,5.7499856e-06,5.481066e-06,6.7194924e-07,6.054528e-06,1.7422717e-06,2.4410896e-05,1.2260862e-06,1.4901161e-06,6.02426e-06,4.6915375e-07,2.298737e-06,1.80793e-06,7.0314854e-08,2.880115e-07,3.5676174e-05,2.746936e-06,8.030329e-07,2.6668422e-06,4.522968e-06,5.834736e-07,7.8813173e-07
L2511,1.3546669e-06,2.910383e-09,3.5151606e-07,3.3518882e-07,4.109461e-08,3.7020072e-07,1.0646181e-07,1.4927646e-06,7.494236e-08,9.109499e-08,3.685127e-07,2.8667273e-08,1.405424e-07,1.1065276e-07,4.278263e-09,1.7578714e-08,2.1827582e-06,1.6807462e-07,4.9039954e-08,1.6321428e-07,2.7680653e-07,3.57104e-08,4.8195943e-08
L2638,6.506365e-06,5.357346e-06,6.7373912e-06,4.9109804e-07,1.5518162e-07,3.2740936e-06,2.8132345e-06,3.958649e-05,4.445028e-07,5.20263e-06,6.9667294e-06,2.4702167e-06,1.5437108e-06,3.2494136e-06,2.4800102e-06,4.053334e-06,2.6813505e-06,7.838971e-07,2.2577005e-06,2.6228809e-06,6.906339e-08,3.5337725e-06,5.384616e-06
L2648,1.8634091e-06,1.7791172e-07,1.1200173e-06,5.1463576e-07,4.6964124e-07,2.6127964e-07,5.1618554e-07,6.945411e-07,1.8685387e-07,5.824404e-08,4.7916546e-07,6.451737e-07,5.120237e-07,2.2012682e-07,1.1305383e-07,1.3980025e-07,5.269685e-07,3.089517e-07,3.1858508e-07,3.1769014e-07,1.0353688e-08,4.398171e-07,2.5181362e-07
L2650,1.8571736e-05,8.423376e-06,1.4048914e-05,1.0904914e-06,6.164191e-08,6.8159134e-06,6.882561e-06,8.516683e-06,3.189809e-06,1.1922733e-05,1.3599696e-05,2.7258066e-06,1.7747516e-06,6.406888e-06,3.831112e-06,7.594266e-06,8.96104e-05,1.7637503e-06,3.2945245e-06,5.430309e-06,1.17579475e-08,2.337998e-06,5.8469595e-06
L2657,6.7317305e-06,1.7773928e-06,3.9870356e-06,5.598049e-06,3.065048e-06,1.8568826e-06,2.280729e-06,2.5014306e-06,1.7170969e-06,2.916233e-06,2.9428484e-06,1.861481e-07,6.437767e-08,1.4389952e-06,1.09459506e-07,1.4241232e-06,2.7829927e-05,3.157038e-07,1.4289253e-06,1.771361e-06,1.2504461e-07,2.4560723e-07,1.0174917e-06
L2663,2.4831606e-06,4.974783e-06,3.7048085e-06,1.691797e-05,4.9436785e-06,6.128379e-06,7.433118e-08,4.6943023e-07,3.0072988e-07,5.892187e-06,1.4113306e-05,7.648196e-06,6.087401e-06,7.716182e-06,2.531975e-06,9.486161e-06,1.724159e-05,1.0085641e-06,9.506519e-06,9.543e-07,1.1518132e-06,8.450705e-06,1.2131e-05
L2665,2.5687332e-05,1.5433412e-05,1.5927624e-05,1.7964776e-05,3.5347184e-06,3.9733422e-06,1.0727934e-05,9.385956e-06,7.738243e-06,2.0512089e-05,2.7107802e-05,5.969341e-06,5.3494878e-06,1.2435252e-05,4.443078e-06,1.2552307e-05,3.1669537e-05,1.0661024e-06,1.5607016e-05,1.4752441e-05,3.6740676e-07,1.2163917e-05,2.2108492e-05
L2684,4.520887e-06,5.0815288e-08,5.97717e-06,4.8079106e-05,5.0040442e-05,0.00010359379,4.160538e-07,6.8666413e-06,7.3740666e-06,3.8223225e-06,1.2336488e-05,6.0830353e-06,1.2963719e-06,3.6740967e-06,8.870455e-06,1.1378885e-05,2.0088046e-06,3.1332747e-06,2.8576032e-06,2.1081942e-06,6.67118e-07,9.046271e-06,8.746851e-06
L2960,7.755443e-07,8.110801e-06,1.1515978e-05,5.939364e-06,6.5050655e-05,,,,,,,,,,,,,,,,,,
L1156,0.0012745745,0.00033388287,0.00041062385,0.0076492876,0.005835831,0.0020307414,4.856661e-05,0.0006050058,0.00011637062,0.00016670674,6.6943467e-06,6.623939e-05,5.64754e-06,5.0920993e-05,9.5911324e-05,0.0013526045,9.547919e-06,3.1311065e-05,0.00012214854,7.329509e-05,1.0877848e-06,0.00010628626,0.00023290515
L1189,2.72115e-05,0.00031594757,0.0002702413,2.5011832e-07,2.2957101e-07,3.2497337e-07,3.1944364e-07,7.8679295e-07,3.9383303e-07,9.094947e-07,9.579817e-07,8.5606007e-07,2.6571797e-07,4.8137736e-08,2.552988e-07,8.177012e-07,2.6909402e-07,7.6543074e-08,2.9266812e-07,1.4546094e-07,2.5902409e-08,6.6665234e-07,3.6635902e-07
L1226,1.4554476e-05,1.9804807e-05,3.3667544e-05,4.8498623e-07,1.0898802e-06,4.9360096e-08,2.1466985e-07,5.236361e-07,1.44355e-08,1.1476222e-06,1.6628765e-06,1.2938399e-06,8.966308e-07,1.4235266e-06,8.3167106e-07,2.1394808e-06,2.4214387e-07,2.8149225e-07,1.8829014e-06,1.8393621e-07,4.0978193e-08,1.3120007e-06,3.0572992e-06
L1227,7.30576e-05,4.1791238e-05,7.149158e-05,9.1362745e-07,2.5038607e-06,2.8964132e-07,6.4400956e-07,1.5660189e-06,1.9697472e-07,1.9785948e-06,3.0724332e-06,2.3273751e-06,1.8007122e-06,3.1292439e-06,1.6679987e-06,4.1858293e-06,3.7485734e-07,5.6857243e-07,3.927853e-06,4.810281e-07,7.497147e-08,2.4805777e-06,1.1869706e-05
L1228,5.9248414e-05,2.1633226e-05,3.7358375e-05,3.8766302e-07,1.4514662e-06,2.9150397e-07,4.8149377e-07,1.1683442e-06,2.74973e-07,6.8498775e-07,1.2561213e-06,8.96398e-07,8.614734e-07,1.712935e-06,7.953495e-07,1.9147992e-06,8.96398e-08,2.7474016e-07,1.997454e-06,3.2084063e-07,2.9802322e-08,1.0626391e-06,8.756062e-06
L1263,0.00042473595,0.0003108089,0.00028713688,6.482005e-07,8.427305e-07,8.865027e-07,8.9453533e-07,2.1419255e-06,9.153737e-07,1.6536796e-06,1.5213154e-06,1.5029218e-06,4.3213367e-07,4.1443855e-08,4.1362364e-07,1.8019928e-06,1.1957018e-06,1.6228296e-07,8.182833e-07,1.5750993e-07,3.7136488e-08,1.3695098e-06,5.2095857e-07
L3086,2.1848187e-05,1.0262243e-05,1.4631776e-05,1.522596e-06,1.2333039e-06,1.6432023e-06,1.7110142e-06,4.7562644e-06,1.738721e-06,3.2388489e-06,3.0890806e-06,3.2407697e-06,1.2147357e-06,5.173497e-07,9.1281254e-07,3.859459e-06,2.5324407e-06,4.2718602e-07,2.190296e-06,4.19328e-07,2.2992026e-08,3.2591633e-06,1.5280093e-06
L3117,7.969691e-06,1.1732482e-06,2.1965898e-06,3.0154697e-06,2.461231e-06,8.746647e-07,2.8470822e-08,6.7881047e-07,2.7943315e-07,3.25781e-07,4.5634806e-08,2.5633199e-08,8.767529e-08,2.2904715e-08,5.820766e-08,1.1406519e-07,3.0631782e-09,2.6630005e-09,2.9354123e-07,2.9277726e-07,2.2118911e-09,3.141904e-07,2.6157068e-07
L1406,6.053597e-08,2.6193447e-10,6.48055e-07,3.4458935e-08,3.4830882e-06,1.0612712e-06,1.4598918e-05,5.4046395e-06,2.4796464e-08,2.5407644e-08,1.97615e-08,6.321061e-07,1.1467608e-05,4.5110937e-09,1.36788e-09,5.151378e-09,1.3387762e-09,3.5128323e-08,1.4231773e-08,5.3812983e-08,6.0128514e-08,2.0430889e-08,0.00012511274
L1423,3.4604454e-08,1.1641532e-10,3.7270365e-07,1.9717845e-08,1.9908475e-06,6.0681487e-07,8.390314e-06,8.893388e-06,1.2834789e-08,1.3198587e-08,1.0608346e-08,2.2732274e-06,5.966722e-06,2.1536835e-09,8.8766683e-10,2.4592737e-09,8.440111e-10,1.8204446e-08,7.450581e-09,2.7634087e-08,3.0879164e-08,1.0666554e-08,4.444411e-05
L1543,0.00014631147,0.00014029746,5.7173194e-05,0.00019852328,9.424565e-05,4.8582675e-05,2.6338268e-05,0.00012850063,1.3805693e-05,5.0117495e-05,4.383037e-06,1.648767e-05,2.452801e-05,0.000100353034,1.32620335e-05,0.00013577938,2.6612543e-07,0.00012847432,0.00021388335,7.021427e-05,1.6433187e-06,2.1338463e-05,1.1418015e-06
L1544,0.00015465845,0.00013816729,4.4924673e-05,0.00019594678,9.743753e-05,4.384108e-05,2.3199013e-05,0.00011091074,6.6522043e-06,4.654331e-05,4.93112e-06,1.7844839e-05,2.7796254e-05,0.00011108164,1.8531457e-05,0.00015371037,2.1800399e-05,8.334592e-05,0.00024358789,6.289338e-05,1.5131664e-06,1.8786173e-05,3.849389e-06
L1605,2.0943815e-05,9.904965e-06,2.1788874e-05,0.0005482335,,,,,,,,,,,,,,,,,,,
L1615,0.0004372038,2.8318027e-06,2.6468188e-06,7.9290476e-07,1.4913967e-06,2.1780143e-06,8.671079e-06,0.00021351653,1.7261831e-05,9.170617e-06,2.0306325e-06,2.3342553e-05,5.970709e-06,3.4586992e-07,2.5491463e-06,2.9604416e-07,2.5355257e-06,1.7089769e-07,3.344845e-06,2.361252e-06,2.500601e-07,2.771616e-06,3.9723236e-06
L1617,2.1884975e-05,2.2288878e-06,1.8174178e-06,2.5867485e-07,3.0099181e-07,1.6648555e-06,1.2250966e-06,3.758201e-05,2.491288e-07,7.0710666e-07,3.178243e-05,3.078021e-07,9.423238e-07,6.345217e-07,1.473818e-06,4.6548666e-07,9.973883e-07,8.2387123e-07,1.739536e-06,1.5847618e-06,3.4767436e-07,1.6705599e-06,2.850371e-06
L1949,0.00019397074,8.042576e-05,0.00015997747,0.00011877995,0.00012256298,2.1194108e-05,2.5124755e-05,7.76574e-05,1.0253396e-05,4.7826208e-05,8.56081e-05,6.4219814e-05,6.652158e-05,0.000186685,2.2674445e-05,0.00014250446,0.0001037037,3.271294e-05,0.00028837728,0.00011928426,7.0929527e-06,6.273389e-05,9.4355084e-05
L2469,1.02045306e-08,3.8198777e-11,1.0898657e-07,5.809852e-09,5.8660225e-07,1.7898674e-07,2.484834e-06,4.8247784e-07,4.109097e-09,4.2145984e-09,3.3469405e-09,3.1581112e-07,1.919594e-06,7.2759576e-10,2.5465852e-10,8.1854523e-10,2.401066e-10,5.9371814e-09,2.4265319e-09,9.047653e-09,1.0131771e-08,3.4815457e-09,0.000116094016
L2472,2.1063897e-09,3.637979e-12,2.2995664e-08,1.196895e-09,1.2175224e-07,3.6983693e-08,4.965732e-07,5.265738e-06,9.822543e-11,9.458745e-11,2.1827873e-11,3.7849895e-06,1.8202627e-07,9.822543e-11,0.0,1.2732926e-10,7.275958e-12,5.2386895e-10,1.9645086e-10,8.367351e-10,9.1677066e-10,2.6921043e-10,1.0267453e-05
L2898,0.00018467009,1.8717488e-05,3.01213e-06,5.0957082e-05,8.2828104e-05,6.7420304e-05,1.7557759e-05,4.6953093e-05,2.011517e-05,4.419335e-05,4.4731423e-05,6.28666e-06,9.867363e-07,1.698453e-05,4.307367e-06,2.150773e-05,2.1623448e-05,1.52182765e-05,1.9981293e-05,3.6835438e-05,2.3809262e-06,1.2016157e-05,3.320817e-05
L109,0.00029030023,0.0004694583,0.00086303113,0.00014185673,1.7372426e-05,7.845112e-06,1.3958197e-06,0.00011475559,3.3481978e-05,2.2579683e-05,2.9130373e-05,3.0364841e-05,1.7968705e-06,2.804445e-07,4.4858316e-06,1.7599668e-06,2.141809e-06,1.0762597e-06,6.1822357e-06,3.77174e-06,6.775372e-08,7.2075054e-06,3.0733645e-06
L110,0.00027738442,0.00046435068,0.00085819,0.00013950886,1.9904692e-05,9.301119e-06,1.4636898e-06,0.00012120209,3.4907716e-05,2.3086322e-05,3.01525e-05,2.9951334e-05,1.1499505e-06,2.605375e-07,4.6885107e-06,1.9290019e-06,2.1744054e-06,1.0787044e-06,6.612856e-06,4.169997e-06,6.6822395e-08,7.706229e-06,2.5224872e-06
L112,0.00030191406,0.00047418545,0.00086787995,0.00014454836,1.564878e-05,6.931834e-06,1.3035024e-06,0.000109375454,3.2230048e-05,2.2006221e-05,2.7887872e-05,3.0923286e-05,3.293273e-06,2.2549648e-07,4.264759e-06,1.6395934e-06,2.0482112e-06,1.0434305e-06,5.785958e-06,3.4996774e-06,6.5076165e-08,6.773509e-06,3.7421705e-06
L115,0.0002928162,0.0005911647,0.0010923519,6.004609e-05,1.6828417e-05,8.753734e-06,1.7290004e-06,2.2455934e-05,3.9339066e-06,7.697148e-06,3.5652192e-06,3.8033468e-05,3.7456863e-05,1.5739352e-07,3.5547419e-06,1.3511162e-06,3.0290103e-06,9.955838e-07,4.556263e-06,2.5474e-06,7.2293915e-08,6.2945765e-06,4.9981754e-06
L116,0.0004800409,0.000702841,5.166023e-05,6.028544e-05,1.5291502e-05,8.099596e-06,1.7314451e-06,2.0060805e-05,3.3203978e-06,7.794239e-06,4.0723244e-06,3.797561e-05,3.809901e-05,2.3015309e-07,3.4683617e-06,1.3525132e-06,2.9228395e-06,9.792857e-07,4.344736e-06,2.3848843e-06,6.996561e-08,6.0599996e-06,4.4169137e-06
L119,0.0005514777,,,,,,,,,,,,,,,,,,,,,,
L1660,5.4935925e-05,6.9384e-05,1.1835014e-05,1.1781463e-05,1.05355866e-07,8.705771e-06,9.2715374e-05,2.0097592e-05,9.345356e-06,4.9875816e-06,6.8804948e-06,8.154195e-06,3.083609e-06,1.2046774e-05,1.5828875e-05,2.5175745e-05,5.2093063e-05,1.8961728e-06,3.1593256e-05,7.9800375e-05,1.770677e-06,1.1189841e-05,1.279125e-05
L1707,5.5107754e-05,6.204832e-05,3.6940677e-05,3.482576e-05,3.579259e-05,2.6921625e-05,3.16737e-05,2.4472363e-05,2.764701e-05,6.374938e-05,1.9639265e-07,1.2426637e-05,6.2834006e-06,3.5141362e-05,6.9910893e-06,3.6712387e-05,3.7368154e-05,1.6037724e-05,4.8522023e-05,3.3762888e-05,2.2456516e-07,2.234918e-05,5.496107e-05
L186,0.00014145579,0.00039449893,0.00019940222,2.139248e-06,3.001187e-05,1.7438084e-05,4.5509078e-06,0.0002556122,3.1033996e-05,0.00011702068,0.00012605358,5.9377635e-05,0.00010354724,2.5829067e-05,2.865214e-06,1.0821968e-06,4.610978e-06,1.193746e-05,3.6933925e-06,2.276618e-06,4.749745e-08,6.9527887e-06,2.5292393e-05
L187,0.00015412178,0.0004023919,0.00019264221,9.988435e-07,2.8489623e-05,1.6536564e-05,4.2598695e-06,0.0002672379,3.3962307e-05,0.00011922768,0.00012984592,6.115856e-05,0.000108493725,2.60456e-05,2.2621825e-06,8.821953e-07,4.3755863e-06,1.1855271e-05,2.9637013e-06,1.8975697e-06,3.7718564e-08,6.1581377e-06,2.3558969e-05
L188,0.00015992997,0.00040609622,0.00018962147,2.4270266e-06,2.7805101e-05,1.6131904e-05,4.128553e-06,0.00027260114,3.530411e-05,0.00012026378,0.00013160566,6.198441e-05,0.00011077081,4.5125373e-05,2.0535663e-06,8.1351027e-07,4.295027e-06,1.1828961e-05,2.7113128e-06,1.7669518e-06,3.4924597e-08,5.883863e-06,2.2963388e-05
L190,0.00016486924,0.00040927343,0.00018707803,3.6372803e-06,2.7227914e-05,1.5789177e-05,4.0179584e-06,0.00027717184,3.6444515e-05,0.000121152494,0.00013310788,6.268988e-05,0.00011270959,4.509883e-05,1.821667e-06,7.3667616e-07,4.2051543e-06,1.18005555e-05,2.4314504e-06,1.6214326e-06,3.0733645e-08,5.579088e-06,2.2300752e-05
L1963,0.00010565156,0.0002173339,0.0006180834,0.00023486605,0.00018153246,0.00023247069,0.00025431672,1.4048535e-05,0.00010217726,0.00052960264,0.00026557362,0.00013308413,0.00011641113,0.00040757516,0.00024362095,0.0003759591,0.00030696532,0.00013602525,0.0003649681,0.00027344376,7.664785e-06,0.00030881306,0.0005831863
L198,0.00032393678,2.1278334e-05,4.7545123e-05,3.7040765e-05,2.6532216e-06,2.0353182e-06,5.354523e-07,2.947764e-05,5.25348e-05,0.00012512677,0.00016458216,8.113333e-05,0.00016012031,2.9308489e-05,5.3867698e-06,2.3902976e-06,3.9231963e-07,1.0361255e-05,6.6286884e-06,3.8160942e-06,7.9511665e-08,5.742768e-06,8.055358e-06
L21,0.00012644427,1.7678365e-05,2.497295e-05,0.0001469641,1.7032027e-05,2.741348e-05,3.818888e-06,0.000101734884,2.1078624e-05,4.3815002e-05,3.8001686e-05,3.4050085e-05,5.2757096e-05,6.4242166e-05,9.681564e-06,2.4111941e-06,2.3312867e-05,2.107583e-05,1.2104865e-05,7.0035458e-06,1.5832484e-07,1.4404766e-05,3.2498501e-06
L2195,2.7239788e-05,0.00016520731,9.775627e-06,0.00010245154,4.3796375e-05,0.0001149266,8.7479595e-05,0.00033535482,3.9622653e-05,0.00021969527,0.0001661107,7.616542e-05,7.618684e-05,0.0001095077,8.5528474e-05,0.00011477992,0.00013070041,4.742574e-05,7.225061e-05,0.00015732553,3.6107376e-05,0.00011942629,0.00020934734
L3068,2.9016635e-05,5.6243152e-06,7.8645535e-06,1.2812088e-06,2.0780135e-07,1.3121171e-06,1.3275421e-06,2.9892544e-06,1.4213729e-06,3.36417e-06,3.3519464e-06,2.7958886e-06,9.810319e-07,7.444178e-07,1.014676e-06,3.4798868e-06,1.3605459e-06,4.1618478e-07,2.2419263e-06,5.743932e-07,1.4278339e-07,2.4678884e-06,1.6095e-06
L422,0.00014182273,2.1644868e-05,2.1304935e-05,0.0001481059,1.4374964e-05,2.557179e-05,4.2598695e-06,0.00010636309,2.1874439e-05,4.2755157e-05,3.8017984e-05,3.344007e-05,5.2864896e-05,6.409921e-05,8.97469e-06,2.1697488e-06,2.3479108e-05,2.0987587e-05,1.1218945e-05,6.5153e-06,1.466833e-07,1.5285332e-05,4.9853697e-06
L6,0.00046009012,1.0607764e-05,2.9108487e-05,4.906673e-05,9.4753224e-05,2.6654918e-05,2.5796238e-05,0.00014372263,3.938563e-06,2.1200627e-05,9.041512e-06,1.4621299e-05,1.987908e-05,7.757475e-05,8.90228e-06,5.548354e-07,2.8964365e-05,1.4809659e-05,1.1303695e-05,6.6480134e-06,1.7695129e-07,6.1684055e-05,8.264091e-06
L769,0.00014306186,2.1820888e-05,2.108328e-05,0.00014846539,1.8368475e-05,2.5570858e-05,4.260335e-06,0.00010636519,2.1874439e-05,4.275446e-05,3.8017984e-05,3.344007e-05,5.2864663e-05,6.4099906e-05,8.974457e-06,2.169516e-06,2.3478642e-05,2.098782e-05,1.1219177e-05,6.5157656e-06,1.4714897e-07,1.5286263e-05,4.9856026e-06
L869,0.00021001627,0.00032364856,6.6439155e-05,3.6759535e-05,0.000118286465,2.5616842e-05,3.8403086e-06,6.1245635e-05,1.590955e-05,8.314848e-06,5.9551094e-06,1.726672e-06,9.271316e-06,2.7806964e-06,7.4438285e-06,3.3879187e-06,3.8770493e-05,9.5227733e-07,1.063454e-05,7.155817e-06,7.892959e-08,0.00019731559,1.7265673e-05
L875,0.00025117025,0.0007446045,3.581436e-05,2.5916495e-05,3.117055e-05,1.3914891e-05,2.2992026e-06,2.1768268e-05,8.190749e-06,4.917267e-06,2.8111972e-06,1.1591474e-06,4.3717446e-06,8.433126e-07,3.6710408e-06,1.8335413e-06,3.448571e-06,4.878966e-07,6.0672173e-06,4.0910672e-06,4.4354238e-08,8.876203e-06,1.08279055e-05
L988,0.00020310469,1.7140992e-05,1.4937017e-05,7.740548e-05,7.1324874e-05,2.0016916e-05,1.9677449e-05,0.00015803846,5.0500967e-06,1.6412465e-05,7.1043614e-06,1.1762604e-05,1.6883016e-05,6.4715045e-05,7.0687383e-06,1.7506536e-06,2.3069791e-05,1.8361025e-05,8.512521e-06,4.8098154e-06,1.3969839e-07,1.02208e-05,5.5397395e-06
L1198,0.0003067609,0.00024790503,0.00040690834,7.576309e-07,5.964469e-05,3.4510158e-06,2.0925421e-05,2.2738706e-05,2.1415763e-05,1.2432691e-05,2.6953407e-05,9.086449e-06,1.4546327e-05,4.860293e-05,2.3375731e-05,5.6579243e-05,1.8362422e-05,2.8167851e-05,1.7823186e-05,1.11516565e-05,9.892508e-06,2.7050264e-05,5.5047683e-05
L2639,2.8563663e-06,1.9704457e-06,2.9193616e-06,3.0329102e-07,1.0128133e-07,1.3069512e-06,1.1422962e-06,1.6884005e-06,2.1779852e-07,2.7011702e-06,3.5581324e-06,1.2297678e-06,7.4732816e-07,1.6755512e-06,1.2984237e-06,2.1449086e-06,1.6653212e-06,4.681351e-07,1.1188531e-06,1.3594254e-06,3.5957783e-08,1.807668e-06,2.8004433e-06
L2646,2.4585752e-05,2.0869775e-06,1.3727171e-05,4.5670313e-06,5.479902e-06,6.0652383e-06,7.3002884e-06,8.334289e-06,4.65638e-06,5.2885734e-06,5.910988e-07,4.709349e-06,3.3011893e-06,4.92204e-07,9.674695e-07,6.722403e-07,,,,,,,
L2649,6.4607244e-05,2.7681235e-05,4.899339e-05,8.7018125e-06,8.404488e-06,2.3562461e-05,2.3555476e-05,2.9190327e-05,1.0082847e-05,3.9617065e-05,4.3581822e-05,8.1044855e-06,4.747999e-06,2.0436128e-05,1.3303943e-05,2.4912297e-05,0.0005077394,5.7443976e-06,3.4372788e-06,1.256424e-05,6.600749e-08,9.5309224e-07,6.613205e-06
L2681,4.1825348e-05,1.2208358e-05,2.451893e-05,3.5490026e-05,3.7896098e-06,7.5366697e-06,8.666015e-06,9.375217e-06,5.9388694e-06,1.3617275e-05,2.0402367e-06,3.0599767e-07,5.2707037e-07,6.438757e-06,1.8453575e-06,6.47438e-06,3.2211246e-05,6.299815e-06,7.479335e-06,8.115079e-06,2.9569492e-08,2.5682966e-06,8.473522e-06
L3158,2.9010844e-05,9.912284e-06,1.0212418e-05,6.2185427e-06,4.5558118e-06,2.646324e-06,6.1962055e-08,9.981333e-06,2.2071035e-06,5.407928e-07,1.3382669e-06,4.343019e-07,8.339848e-07,2.7939677e-09,2.3918983e-07,2.3400935e-07,5.7872967e-08,1.36788e-08,7.491617e-07,6.798655e-07,1.8189894e-09,8.053903e-07,8.690258e-07
