,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L1189,5.234615e-07,7.112976e-07,3.630994e-07,1.2622331e-06,1.1891825e-07,1.5776022e-06,1.8058927e-06,1.5465193e-06,1.189881e-06,1.0319054e-06,6.4686174e-07,2.7642818e-07,5.462207e-07,1.513341e-06,9.443611e-07,8.813804e-07,3.1437958e-07,8.1636244e-07,5.3760596e-07,1.3463432e-07,1.16357114e-07,1.7352868e-06,1.6557751e-06,8.503557e-07,5.8847945e-08,4.0995656e-07,1.6086269e-06,7.087947e-07,2.45322e-06,1.0961667e-06,3.4371624e-07,3.730529e-07,6.4622145e-07,8.352799e-08,9.979703e-07,1.1543743e-06,1.3681711e-06,1.8921564e-06,2.5455374e-06,7.2817784e-08,2.697343e-07,2.5785994e-06,3.2698154e-06,1.5110127e-06,6.29283e-07,8.989009e-07,7.4645504e-07
L1226,8.200295e-07,7.35512e-07,2.7101487e-07,4.1280873e-07,3.336463e-07,3.343448e-07,3.2642856e-07,4.4656917e-07,9.890646e-07,9.84408e-07,1.7536804e-06,1.7960556e-06,1.0377262e-06,1.9813888e-06,1.9352883e-06,7.713679e-07,8.3679333e-07,5.122274e-09,2.7609058e-06,1.3411045e-06,1.8393621e-07,8.668285e-07,2.851477e-06,3.5453122e-06,3.4319237e-07,1.3604295e-06,1.3741665e-06,1.1073425e-06,1.121778e-06,4.398171e-07,2.2046734e-06,9.576324e-07,4.5337016e-05,2.568448e-05,5.1504467e-06,4.3984037e-06,2.0894222e-06,2.07033e-06,5.9593003e-06,1.2223609e-07,6.1886385e-07,5.234033e-06,5.68619e-06,8.465722e-07,8.2934275e-07,3.0545052e-06,2.0046718e-07
L1227,1.871027e-06,1.4808029e-06,5.271286e-07,6.868504e-07,7.082708e-07,4.6519563e-07,1.010485e-06,1.2274832e-06,1.9557774e-06,1.9725412e-06,3.7085265e-06,3.863126e-06,2.1643937e-06,4.0605664e-06,4.051719e-06,1.53156e-06,1.7690472e-06,1.2433156e-07,5.9190206e-06,2.8978102e-06,4.2142347e-07,1.5981495e-06,5.929265e-06,7.569324e-06,7.371418e-07,2.8936192e-06,2.7241185e-06,2.2929162e-06,2.0321459e-06,7.757917e-07,4.743226e-06,2.1485612e-06,9.843428e-05,5.581323e-05,1.1038501e-05,9.383541e-06,4.3227337e-06,4.1914172e-06,1.2546778e-05,2.7986243e-07,1.3010576e-06,1.0964461e-05,1.1827331e-05,1.585111e-06,1.9134022e-06,6.4997002e-06,5.629845e-07
L1228,1.1778902e-06,5.7625584e-07,1.701992e-07,2.4912879e-08,3.4668483e-07,2.416782e-07,1.112232e-06,1.1492521e-06,6.847549e-07,7.4505806e-07,1.802342e-06,2.0025764e-06,9.969808e-07,1.7210841e-06,1.893146e-06,5.49946e-07,8.577481e-07,3.2410026e-07,3.0321535e-06,1.5266705e-06,2.6705675e-07,3.1874515e-07,2.6866328e-06,3.8223807e-06,3.8044527e-07,1.437962e-06,9.695068e-07,1.0188669e-06,3.2852404e-07,7.660128e-08,2.4603214e-06,1.2796372e-06,5.295733e-05,3.011804e-05,5.654758e-06,4.716683e-06,1.912238e-06,1.6752165e-06,5.98887e-06,1.7462298e-07,6.190967e-07,5.1248353e-06,5.37117e-06,3.7974678e-07,1.2333039e-06,3.2340176e-06,5.403999e-07
L1288,8.1634265e-05,1.23656355e-05,8.550822e-06,2.8719893e-05,4.2407657e-05,2.2638356e-05,2.2402615e-05,3.725756e-06,2.484466e-05,5.2799005e-06,2.1927175e-05,9.009149e-06,4.3127686e-05,2.8561684e-05,7.16917e-05,5.858508e-05,6.4010965e-05,2.4580979e-05,5.8238278e-05,1.0795426e-05,4.223117e-05,5.6262128e-05,5.4032193e-05,1.7843675e-05,2.6151421e-05,1.36171e-05,4.532037e-05,8.684816e-06,0.00014424243,5.9374026e-05,3.0115596e-05,1.6989303e-05,5.6274934e-05,2.7811038e-05,2.6577385e-05,2.3380737e-05,4.2217318e-05,2.6143272e-05,8.9480076e-05,4.2086e-05,3.5651727e-05,4.2357482e-05,6.705627e-05,6.9405185e-05,1.6409904e-06,1.1265278e-05,6.224145e-05
L1301,3.6258105e-05,3.7573045e-06,5.896727e-06,5.5643613e-07,1.631555e-05,7.262599e-06,3.1981617e-06,7.3695555e-06,4.0571904e-06,8.439296e-06,1.7277343e-05,3.9467704e-06,1.0348216e-05,8.942734e-07,2.4097622e-05,1.5779602e-05,1.0547345e-05,1.0620715e-05,1.9496481e-05,7.702329e-07,8.014002e-06,2.729561e-06,4.782167e-06,1.0305084e-06,1.0075484e-05,1.0618591e-05,2.470886e-06,1.0578631e-05,3.164573e-05,1.2182281e-05,1.7802842e-05,9.206182e-06,1.8725783e-05,7.2134717e-06,4.9452356e-06,7.0793903e-06,6.2859035e-06,1.7870625e-06,2.108427e-05,1.4691177e-05,1.2835721e-05,3.6466226e-06,4.194735e-06,4.4825574e-05,6.416996e-05,2.743007e-06,
L3089,3.1456002e-06,1.781329e-06,9.294017e-07,1.1589145e-06,2.98518e-06,1.2544333e-06,3.6487472e-06,2.728193e-06,2.5833142e-06,2.7543865e-07,1.5232363e-06,1.2881937e-06,7.1246177e-07,1.7049024e-06,3.1208037e-06,3.201072e-06,7.14208e-07,3.459747e-06,2.0608422e-06,8.911593e-07,5.8754813e-07,1.1629891e-07,3.5159755e-06,1.4779507e-06,1.0312069e-06,3.118359e-06,2.738263e-06,4.2276224e-07,6.8089576e-06,3.6004349e-06,6.9633825e-07,8.60251e-07,9.973999e-06,2.184417e-06,4.2881584e-07,1.7089769e-06,2.3932662e-06,3.1232485e-06,6.221584e-06,9.797513e-07,1.6592094e-06,2.7216156e-06,4.1597523e-06,1.9181753e-06,2.5401823e-07,2.2712047e-06,1.5965197e-06
L3097,4.3574255e-07,5.9540616e-07,3.062887e-07,1.0587391e-06,9.452924e-08,1.3201497e-06,1.508568e-06,1.293316e-06,9.947107e-07,8.6281216e-07,5.385955e-07,2.2846507e-07,4.6222704e-07,1.2671808e-06,7.91857e-07,7.3673436e-07,2.6472844e-07,6.814371e-07,4.5081833e-07,1.1065276e-07,1.02154445e-07,1.4610705e-06,1.4249235e-06,7.7241566e-07,4.7439244e-08,3.3690594e-07,1.3473909e-06,5.93951e-07,2.0561856e-06,9.1601396e-07,2.8585782e-07,3.1403033e-07,5.234033e-07,6.0070306e-08,8.363859e-07,9.629293e-07,1.1432567e-06,1.5828409e-06,2.1303422e-06,5.948823e-08,2.2578752e-07,2.159155e-06,2.7401838e-06,1.271721e-06,5.289912e-07,7.507042e-07,6.253249e-07
L3117,2.910383e-11,7.275958e-12,6.548362e-11,4.3655746e-11,7.275958e-12,1.4551915e-11,0.0,2.1827873e-11,2.910383e-11,2.910383e-11,0.0,5.820766e-11,8.0035534e-11,2.1827873e-11,4.3655746e-11,7.275958e-12,2.1827873e-11,3.6379788e-11,2.1827873e-11,4.3655746e-11,5.820766e-11,1.0186341e-10,3.6379788e-11,0.0,0.0,7.275958e-12,2.910383e-11,1.4551915e-11,2.3029133e-07,2.3032044e-07,3.6379788e-11,4.3655746e-11,2.1827873e-11,2.1827873e-11,2.308152e-07,2.3077155e-07,0.0,4.3655746e-11,7.2759576e-11,2.910383e-11,2.1827873e-11,2.910383e-11,6.548362e-11,2.3013854e-07,2.3024768e-07,7.275958e-12,2.1827873e-11
L313,2.0684674e-06,1.0477379e-08,2.1944288e-07,1.329463e-07,1.7811544e-08,6.298069e-08,6.041955e-08,1.4773104e-07,1.2933742e-07,3.5390258e-08,8.533243e-08,1.982553e-07,2.6798807e-07,4.377216e-08,1.0593794e-07,8.090865e-08,1.9231811e-07,1.6600825e-07,8.81264e-08,1.9464642e-07,1.8521678e-07,2.8964132e-07,6.3097104e-08,1.2981473e-06,1.4832476e-06,5.8533624e-06,4.0516024e-06,3.0554365e-06,1.5852274e-06,1.4534453e-06,1.9848812e-07,2.1001324e-07,5.2852556e-08,1.10361725e-07,1.6813865e-06,1.4769612e-06,2.1536835e-08,1.7799903e-07,3.2118987e-07,1.2165401e-07,1.2887176e-07,1.6007107e-07,2.3725443e-07,1.0491349e-06,1.4605466e-06,4.4703484e-08,3.5157427e-08
L559,4.3332693e-07,3.5652192e-08,1.3361569e-07,9.473297e-08,3.547757e-08,8.061761e-09,2.9074727e-08,1.7462298e-09,4.5081833e-08,7.4127456e-08,1.9557774e-08,1.0133954e-07,1.6327249e-07,3.943569e-08,1.1903467e-07,3.600144e-08,5.3201802e-08,8.6816726e-08,4.5314664e-08,5.986658e-08,1.0925578e-07,2.165034e-07,7.29633e-08,4.3891487e-07,4.5617344e-07,1.7655548e-06,1.2252422e-06,1.0084768e-06,1.4498073e-06,1.5919504e-06,6.07979e-08,7.566996e-08,5.2241376e-08,1.29512046e-08,1.7349666e-06,1.6641861e-06,1.7462298e-09,8.3236955e-08,1.436274e-07,6.443588e-08,3.032619e-08,4.3510227e-08,1.0870281e-07,1.4645921e-06,1.6562699e-06,3.3935066e-08,4.2986358e-08
L1406,8.614734e-09,1.5308615e-08,7.4214768e-09,4.627509e-09,4.5110937e-09,1.7695129e-08,3.6379788e-09,1.7977145e-06,3.084453e-06,9.026844e-07,2.3457687e-08,5.7334546e-09,1.5870319e-07,1.3213139e-08,2.5058398e-08,2.6571797e-08,1.6065314e-08,2.4214387e-08,1.169974e-07,5.005859e-09,4.6711648e-08,9.11532e-08,1.7113052e-08,7.301278e-07,3.7631253e-08,1.5250407e-08,1.2863893e-08,9.807991e-09,9.586802e-08,3.3760443e-09,5.9662852e-09,1.6880222e-08,2.863817e-08,1.8801074e-08,1.4289981e-08,1.05646905e-08,6.9849193e-10,2.2992026e-09,4.3190084e-08,2.066372e-08,1.7869752e-08,2.1798769e-08,3.5215635e-08,4.8894435e-08,8.440111e-09,1.3795216e-08,2.1245796e-09
L1422,3.2814569e-09,5.806214e-09,2.8230716e-09,1.7607817e-09,1.7535058e-09,6.7520887e-09,1.3897079e-09,6.8562076e-07,1.1764278e-06,3.4440018e-07,8.985808e-09,2.2118911e-09,6.044138e-08,5.0422386e-09,9.5315045e-09,1.0120857e-08,6.1190804e-09,9.218638e-09,4.4572516e-08,1.9354047e-09,1.7811544e-08,3.4713594e-08,6.548362e-09,2.7858187e-07,1.4217221e-08,5.682523e-09,4.9185473e-09,3.739842e-09,3.6547135e-08,1.2805685e-09,2.226443e-09,6.4537744e-09,1.08993845e-08,7.1668182e-09,5.464244e-09,4.0672603e-09,2.4738256e-10,8.731149e-10,1.6501872e-08,7.887138e-09,6.7811925e-09,8.3236955e-09,1.3380486e-08,1.8560968e-08,3.245077e-09,5.289621e-09,7.930794e-10
L1423,1.1350494e-09,2.0081643e-09,9.749783e-10,6.1118044e-10,6.1118044e-10,2.3355824e-09,4.5110937e-10,2.3758184e-07,4.074609e-07,1.1915836e-07,3.07773e-09,7.421477e-10,2.0940206e-08,1.7389539e-09,3.2960088e-09,3.4997356e-09,2.0954758e-09,3.1795935e-09,1.542503e-08,6.548362e-10,6.19184e-09,1.1990778e-08,2.240995e-09,9.63264e-08,4.984031e-09,2.0372681e-09,1.6952981e-09,1.2732926e-09,1.2667442e-08,4.4383341e-10,8.0035534e-10,2.226443e-09,3.776222e-09,2.4811015e-09,1.884473e-09,1.4042598e-09,8.0035534e-11,3.1286618e-10,5.667971e-09,2.7212081e-09,2.3574103e-09,2.8157956e-09,4.598405e-09,6.4173946e-09,1.1132215e-09,1.7971615e-09,2.8376235e-10
L1543,1.6602688e-05,0.00015091593,7.2454335e-05,3.1769974e-05,3.7871534e-05,6.88592e-05,4.47575e-05,3.821077e-05,8.8017434e-05,0.000116043026,7.647858e-05,7.54802e-05,0.00015331362,0.0001259963,0.00020106882,0.0005323938,0.00028462475,4.5235734e-05,0.0007353565,1.2898818e-06,0.0001480123,0.00034663314,4.0073413e-05,3.908761e-06,6.296905e-05,0.00010328647,6.708782e-05,9.4745774e-05,0.0002325112,4.013069e-06,4.6472996e-05,7.8234356e-05,0.00013292069,7.357774e-05,0.00010448275,1.8203631e-05,7.949304e-05,7.331697e-05,0.00021248963,3.221119e-05,0.00010104291,6.764941e-05,0.00020391494,0.00032175146,5.060667e-05,0.00011826679,1.8356834e-05
L1599,6.997434e-07,1.2734672e-06,1.7459679e-06,7.734343e-07,2.363784e-06,1.3873796e-07,7.432536e-07,2.0992302e-06,5.0853123e-07,8.6269574e-07,8.03906e-07,3.8111466e-07,1.2147066e-06,8.919451e-07,3.2797107e-07,3.655674e-06,4.147092e-06,3.9688894e-07,3.4389668e-06,7.197377e-07,2.887973e-07,2.8099166e-06,5.9470767e-07,5.2066753e-08,5.918846e-07,1.5978003e-07,6.852788e-07,1.2523669e-06,1.2314704e-06,1.9228319e-06,5.813781e-07,1.2203236e-07,8.9764944e-07,5.9604645e-08,3.107416e-07,1.1027732e-06,1.6333943e-06,4.4851913e-07,1.8936407e-06,1.9706495e-06,8.192728e-07,2.591405e-07,2.8286013e-07,7.5271237e-07,4.4703484e-08,6.8795634e-07,6.030314e-08
L1602,1.0201184e-05,3.99322e-06,1.8977444e-06,6.503542e-07,1.4523452e-05,4.8824586e-06,4.1054445e-06,6.118673e-06,8.7870285e-07,5.919952e-06,3.2479293e-06,2.475921e-06,1.7526327e-07,1.0218937e-06,9.35694e-06,3.4242403e-06,1.3261684e-05,9.577081e-06,5.7722908e-05,4.696194e-06,8.379167e-06,2.5771384e-05,4.2074826e-06,2.793211e-06,4.2187166e-06,7.4157724e-06,3.009627e-06,2.5921036e-06,9.304495e-06,7.864146e-06,1.7072307e-07,5.070644e-06,9.424461e-06,6.0182647e-06,5.1905517e-06,1.0776217e-05,8.039526e-06,1.9080471e-07,3.0015362e-06,4.6411296e-06,2.9054936e-06,2.7803471e-06,2.9628864e-06,4.779722e-06,2.2742315e-06,2.43471e-06,8.31089e-07
L1617,1.352164e-07,1.8215505e-06,1.6925042e-06,4.772446e-07,1.3735262e-06,2.6688213e-07,1.4587422e-06,3.4472323e-06,1.6129925e-06,1.3515237e-06,2.299901e-06,1.1907541e-06,7.58213e-07,1.7539132e-06,7.854542e-07,7.5693824e-06,8.418108e-06,1.1873781e-06,2.6542693e-07,3.4907134e-07,1.2828968e-07,1.729466e-06,1.202221e-06,1.3614772e-07,7.718336e-07,1.0687509e-06,1.5163096e-07,1.6997801e-06,1.8427963e-06,2.855726e-06,1.4289981e-07,1.0756776e-06,2.231449e-06,1.0467484e-06,1.3969839e-07,2.8799986e-06,2.849265e-06,3.2788375e-07,6.859191e-07,2.517656e-06,5.461625e-07,4.0704617e-07,9.346404e-07,1.973589e-06,2.1304004e-08,1.422246e-06,6.030314e-08
L2469,7.858034e-10,1.1586963e-09,5.6024874e-10,3.7107384e-10,4.7111826e-10,1.4042598e-09,1.5825208e-10,1.4214493e-07,2.4272413e-07,7.038943e-08,1.7043931e-09,3.765308e-10,1.214903e-08,9.0403773e-10,1.8426363e-09,1.9990694e-09,1.0804797e-09,1.7826096e-09,8.829375e-09,3.255991e-10,3.799869e-09,6.664777e-09,1.1732482e-09,5.6490535e-08,2.9904186e-09,1.2823875e-09,9.258656e-10,6.0936145e-10,7.4614945e-09,2.764864e-10,6.2573235e-10,1.2496457e-09,2.1536835e-09,1.4897523e-09,1.1696102e-09,9.422365e-10,2.1827873e-11,2.6557245e-10,3.0486262e-09,1.4551915e-09,1.376975e-09,1.2132659e-09,2.3464963e-09,3.441528e-09,6.91216e-10,8.913048e-10,1.72804e-10
L2472,1.1732482e-09,1.893568e-09,9.1495167e-10,6.039045e-10,6.675691e-10,2.1755113e-09,5.4387783e-10,2.0328662e-07,3.4606092e-07,9.7274096e-08,2.2082531e-09,2.9831426e-10,1.9050276e-08,1.5679689e-09,3.1213858e-09,3.243258e-09,1.9426807e-09,2.7848728e-09,1.4069883e-08,9.531504e-10,4.094545e-09,1.076296e-08,9.131327e-10,7.6650394e-08,4.5711204e-09,1.9881554e-09,1.5552359e-09,1.1641532e-10,1.173612e-08,4.765752e-10,2.566594e-09,2.8194336e-10,3.5252015e-09,2.3610482e-09,5.4569682e-11,4.0017767e-10,2.1827873e-11,3.0559022e-10,3.3651304e-09,2.4556357e-09,2.228262e-09,5.6024874e-10,4.118192e-09,7.672497e-09,7.548806e-10,2.3101165e-10,9.404175e-10
L2705,2.5149493e-06,1.0326039e-06,6.304472e-07,1.7046113e-07,4.2220054e-06,8.0210157e-07,1.3739918e-07,4.1496241e-07,7.4057607e-07,9.82167e-07,2.7319766e-07,6.877235e-07,3.29857e-06,1.6056583e-07,1.5319092e-06,1.2886303e-06,2.8277282e-07,1.5683763e-06,4.0858868e-07,1.1425e-06,1.1229422e-06,3.5557314e-06,4.703179e-07,2.3092434e-06,9.308569e-07,1.2290548e-06,4.8955553e-07,4.7826325e-07,5.3920667e-07,3.7401333e-07,3.3527613e-08,2.6932685e-07,4.6857167e-07,6.435439e-07,7.36065e-07,9.938667e-07,6.9855014e-07,8.086208e-07,5.9764716e-07,6.883056e-08,9.2506525e-07,7.5934804e-07,2.5503687e-07,4.6478817e-08,1.7014099e-07,8.6351065e-08,4.0064333e-07
L125,5.2299583e-08,3.8620783e-08,9.074574e-08,1.1941302e-07,2.4418114e-08,6.024493e-09,5.2765245e-08,3.0791853e-08,5.288166e-08,1.9482104e-07,7.878407e-08,1.4377292e-07,2.477609e-07,1.0195072e-07,2.530287e-07,1.1903467e-08,4.3655746e-08,1.6469858e-07,1.5765545e-07,4.2113243e-08,1.17201125e-07,2.9042712e-07,3.387686e-08,4.1897874e-07,6.2352046e-07,6.1816536e-08,1.1954689e-06,1.0897056e-06,5.0175004e-07,6.609189e-07,5.47152e-09,2.9336661e-08,1.2136297e-08,6.501796e-08,9.693322e-07,9.4267307e-07,5.2154064e-08,4.5780325e-08,1.8122955e-07,8.745701e-08,4.1996827e-08,2.7532224e-08,3.061723e-08,6.528571e-07,8.203788e-07,3.0355295e-08,3.8126018e-08
L186,1.1085765e-05,3.934838e-08,4.1048042e-07,3.306195e-07,9.359792e-08,5.424954e-08,6.472692e-08,5.122274e-08,2.2398308e-07,3.3900142e-07,7.590279e-08,3.7322752e-07,6.237533e-07,1.7951243e-07,3.8533472e-07,6.193295e-08,1.1269003e-07,2.4680048e-07,1.534354e-07,2.0791776e-07,3.6042184e-07,6.738119e-07,2.1513551e-07,4.8056245e-07,5.1781535e-07,1.0491349e-06,1.6496051e-06,1.4044344e-06,9.762589e-07,1.3466924e-06,1.8673018e-07,2.1862797e-07,9.359792e-08,6.402843e-08,1.8712599e-06,1.6572885e-06,5.3318217e-08,3.061723e-07,5.206093e-07,2.0558946e-07,1.4901161e-07,1.8486753e-07,3.6647543e-07,7.939525e-07,1.4652032e-06,8.96398e-08,8.591451e-08
L187,1.1209166e-05,4.656613e-10,1.8905848e-07,1.7811544e-07,6.216578e-08,2.2351742e-08,7.0314854e-08,2.6309863e-08,1.03609636e-07,2.2281893e-07,8.218922e-08,2.0791776e-07,3.5739504e-07,1.1175871e-07,2.3562461e-07,1.8859282e-08,2.9802322e-08,1.2665987e-07,8.8475645e-08,8.4517524e-08,1.7811544e-07,3.61586e-07,1.1571683e-07,5.180482e-07,5.8999285e-07,1.1955854e-06,1.8381979e-06,1.5285332e-06,5.4063275e-07,7.976778e-07,8.288771e-08,9.150244e-08,4.726462e-08,6.0535967e-09,1.1147931e-06,1.0337681e-06,5.5646524e-08,1.5064143e-07,2.7101487e-07,1.0500662e-07,7.310882e-08,9.010546e-08,1.7671846e-07,5.532056e-07,8.903444e-07,3.7020072e-08,3.7485734e-08
L195,1.1406373e-05,5.5413693e-08,1.1827797e-07,3.5157427e-08,1.7462298e-08,2.2584572e-08,7.7765435e-08,1.3504177e-07,6.3562766e-08,6.3562766e-08,9.1968104e-08,2.1187589e-08,1.1641532e-08,1.7695129e-08,2.8405339e-08,4.0512532e-08,8.405186e-08,3.8649887e-08,1.3969839e-09,8.638017e-08,7.4505806e-08,7.21775e-08,2.2817403e-08,5.7113357e-07,6.922055e-07,1.4014076e-06,2.104789e-06,1.7040875e-06,6.2864274e-08,3.632158e-08,5.9604645e-08,8.35862e-08,1.6996637e-08,1.03143975e-07,6.495975e-08,1.6926788e-07,5.9837475e-08,6.472692e-08,7.4505806e-08,3.4458935e-08,3.282912e-08,4.307367e-08,8.638017e-08,2.1932647e-07,9.383075e-08,3.655441e-08,2.863817e-08
L21,1.1338852e-07,2.856832e-07,1.5299302e-06,1.0605436e-06,2.0791776e-07,2.5657937e-07,1.1478551e-07,6.3166954e-07,8.910429e-07,8.502975e-07,9.662472e-08,1.0505319e-06,1.7753337e-06,4.589092e-07,1.0353979e-06,2.1001324e-07,3.965106e-07,7.5553544e-07,4.710164e-07,7.49249e-07,1.115026e-06,2.0598527e-06,6.677583e-07,1.3023848e-05,3.373716e-06,3.3467077e-06,7.2456896e-07,6.1723404e-07,1.2275064e-05,4.631467e-06,5.7322904e-07,7.3574483e-07,2.5425106e-07,4.6379864e-07,5.898066e-06,5.0601084e-06,2.6077032e-08,9.96748e-07,1.5606638e-06,4.6519563e-07,4.4889748e-07,5.767215e-07,1.2298115e-06,2.5650952e-06,4.7164503e-06,3.511086e-07,2.9662624e-07
L6,5.7625584e-07,4.2212196e-07,1.7590355e-06,1.1962838e-06,2.1839514e-07,3.3644028e-07,3.068708e-07,9.476207e-07,1.1466909e-06,1.0167714e-06,7.0082024e-08,1.048902e-06,1.9189902e-06,5.112961e-07,1.1560041e-06,1.245644e-07,2.074521e-07,7.550698e-07,5.8696605e-07,7.3737465e-07,1.0605436e-06,2.1823216e-06,6.8964437e-07,1.2553297e-05,3.5280827e-06,4.0715095e-06,6.7520887e-09,1.2735836e-07,5.5630226e-06,5.550217e-06,5.082693e-07,6.968621e-07,1.990702e-07,5.5134296e-07,6.7898072e-06,5.871989e-06,7.194467e-08,1.0889489e-06,1.6342383e-06,8.500647e-07,4.3283217e-07,5.955808e-07,1.3620593e-06,3.1231903e-06,5.4684933e-06,3.9534643e-07,7.1618706e-07
L872,4.0465966e-07,4.3213367e-07,9.21078e-07,6.388873e-07,1.322478e-07,1.36788e-07,2.7939677e-08,3.31318e-07,5.067559e-07,4.84637e-07,4.030834e-05,8.236035e-06,1.0652002e-06,2.7241185e-07,6.016344e-07,1.6344711e-07,3.1432137e-07,4.7241338e-07,2.613524e-07,4.8673246e-07,7.208437e-07,1.2470409e-06,4.0023588e-07,5.2386895e-08,2.3283064e-08,1.1059456e-08,4.3655746e-07,2.544839e-07,3.063702e-06,3.5569537e-06,4.0081795e-07,4.947651e-07,1.7881393e-07,2.8137583e-07,4.3809414e-06,3.8517173e-06,1.14087015e-08,6.194459e-07,9.879004e-07,3.9488077e-07,3.0058436e-07,3.7648715e-07,7.550698e-07,2.3198081e-06,3.648689e-06,2.1245796e-07,1.846347e-07
L875,4.6333298e-07,6.889459e-07,1.1646189e-06,8.059433e-07,1.6752165e-07,1.6961712e-07,2.7241185e-08,4.0989835e-07,6.33765e-07,6.06291e-07,5.043112e-07,7.749768e-07,1.4010584e-06,3.5658013e-07,7.869676e-07,2.249144e-07,4.3283217e-07,6.2724575e-07,3.3853576e-07,6.490154e-07,9.611249e-07,1.6458798e-06,5.2689575e-07,5.1688403e-08,3.3015385e-07,2.5820918e-07,5.563488e-07,3.0559022e-07,3.6291312e-06,4.25661e-06,5.393522e-07,6.6228677e-07,2.4179462e-07,3.7020072e-07,5.3499825e-06,4.648813e-06,1.5017577e-08,8.1793405e-07,1.3076933e-06,5.2934047e-07,4.0011946e-07,5.005859e-07,9.950018e-07,2.6351772e-06,4.3868786e-06,2.788147e-07,2.6612543e-07
L988,5.5343844e-07,3.008172e-07,1.317123e-06,8.996576e-07,1.6600825e-07,2.477318e-07,2.1536835e-07,6.8964437e-07,8.5984357e-07,7.599592e-07,5.9138983e-08,8.1397593e-07,1.4654361e-06,3.9115548e-07,8.761417e-07,9.709038e-08,1.816079e-07,5.858019e-07,4.46802e-07,5.743932e-07,8.197967e-07,1.6591512e-06,5.327165e-07,1.6794074e-05,3.3001415e-06,3.3786055e-06,1.792796e-08,1.1152588e-07,4.351139e-06,3.849389e-06,3.8626604e-07,5.266629e-07,1.4831312e-07,4.239846e-07,4.8025977e-06,4.1082967e-06,4.8428774e-08,8.1956387e-07,1.2458768e-06,6.9476664e-07,3.366731e-07,4.535541e-07,1.024222e-06,2.0274892e-06,3.7990976e-06,2.9522926e-07,6.412156e-07
L1198,8.316245e-06,3.5176054e-06,8.161645e-06,2.6267022e-05,1.594238e-05,3.1835865e-05,6.727222e-05,6.6727865e-05,2.2557564e-05,4.8604794e-05,3.0162279e-05,6.920658e-06,2.6958995e-05,2.3356639e-05,2.9884744e-05,5.2922405e-06,3.8685743e-05,2.2637658e-05,4.923949e-05,2.3168512e-05,2.1437649e-05,1.5352853e-05,2.0802952e-05,3.100885e-05,1.6065314e-06,1.2125354e-05,2.5784131e-05,2.1088403e-05,2.0962674e-05,9.563286e-06,3.263587e-05,6.559212e-05,0.00066424534,0.0003681993,9.021722e-06,5.3402036e-06,3.3157878e-05,5.847821e-05,2.855435e-06,3.4005847e-05,2.8963666e-05,3.3323187e-05,5.3747557e-05,4.2119063e-06,6.233808e-05,3.2972544e-05,6.679632e-05
L2639,7.584167e-07,1.4710531e-07,1.0908843e-06,1.2142118e-07,1.5773985e-06,1.4937541e-07,1.6969425e-06,2.4572946e-06,4.8725633e-07,1.4569378e-07,8.7534136e-07,5.670008e-07,9.3801646e-08,5.5748387e-08,2.404573e-06,1.4913967e-06,2.4601468e-06,5.428883e-07,2.0195876e-06,4.4754415e-07,2.1041196e-06,3.54441e-07,1.5614642e-06,1.2481032e-06,2.1660526e-07,1.5657133e-06,9.1138645e-07,2.036104e-07,2.9289658e-06,2.1614687e-06,7.085182e-07,1.571927e-06,2.9971998e-06,1.2701203e-06,1.0188669e-06,1.7635466e-06,1.3648969e-06,8.986972e-07,2.371744e-06,2.0940497e-06,9.5099676e-07,9.4533607e-07,1.2306555e-06,1.607259e-06,4.2638567e-07,2.2652966e-07,1.5353726e-07
L2681,3.3853576e-06,2.933666e-07,1.5875557e-06,1.6356353e-07,5.696027e-06,1.3675308e-06,2.106186e-06,3.2731914e-06,1.1344673e-07,1.0697986e-06,1.9885483e-06,1.9824365e-06,1.3594399e-06,1.7229468e-07,6.4070337e-06,2.313056e-06,4.3874606e-06,2.2713793e-06,4.7632493e-06,1.389999e-07,3.094785e-06,2.061366e-06,2.5259797e-06,8.187024e-06,1.6981503e-06,3.2023527e-06,1.7818529e-06,2.2089807e-06,6.1799656e-06,3.9613806e-06,1.8649735e-06,2.9054936e-06,5.1924726e-06,1.8628198e-06,2.3156172e-06,3.8463622e-06,2.802175e-06,3.6336714e-06,5.2461983e-06,3.5490375e-06,4.7206413e-07,5.500624e-08,1.36788e-06,2.38145e-06,1.8661376e-06,4.1548628e-07,3.7963036e-07
