,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L2595,2.3277244e-07,5.527545e-07,3.592868e-08,1.1146767e-08,3.13521e-07,4.3992193e-05,5.94162e-07,3.1831587e-07,1.0392978e-07,0.00014671616,0.00014648968,2.029119e-07,1.0435077e-05,2.4079782e-07,3.7530845e-07,2.7495116e-07,2.0819425e-07,2.6493944e-07,1.9555591e-07,2.7141505e-07,1.9603613e-07,1.6042031e-07,1.4505349e-07,1.4263569e-06,9.9542376e-08,1.4606485e-07,2.0764855e-07,1.7090497e-07,2.7013448e-07,7.7301956e-07,1.1987868e-07,1.6095146e-07,3.1465606e-07,3.1290256e-07,,,,,,,,
L2602,3.8812868e-07,2.3398024e-07,6.577466e-08,5.493348e-08,2.7437636e-07,4.3831846e-05,3.3781544e-07,2.0414154e-07,1.9812433e-08,1.9460276e-07,5.1950337e-08,1.0043004e-07,9.6304575e-08,1.9606523e-07,2.8121576e-07,1.9915751e-07,1.5769183e-07,2.1348387e-07,7.394556e-08,1.9900472e-07,1.1631346e-07,1.8626451e-09,1.16051524e-07,1.5080877e-07,1.1714292e-08,7.034396e-08,7.724884e-08,2.2027962e-07,1.0844087e-07,4.0671148e-07,2.6797352e-08,7.420749e-08,2.4756446e-07,2.5810004e-07,1.8649735e-07,3.256573e-07,1.2075179e-07,2.3697794e-07,1.09226676e-07,2.8343908e-05,2.8430411e-05,2.9392686e-07
L2603,2.3520552e-06,1.5568221e-06,3.730529e-07,3.190944e-07,1.4153775e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2617,5.677319e-05,5.5996003e-05,1.1344906e-05,8.819159e-06,6.616698e-05,0.00036082673,0.0003267238,0.00014046067,2.1851156e-05,3.4041703e-05,0.0002294234,2.085464e-05,8.816505e-05,9.169243e-05,0.00015645102,0.0002011885,8.913688e-06,7.4607786e-05,0.0001260005,0.00012484752,3.714161e-05,1.2372155e-05,7.240055e-05,1.0278076e-05,6.198464e-05,3.0010939e-05,2.9154122e-05,3.526127e-05,9.5986295e-05,6.4843334e-05,2.100505e-05,1.1289027e-05,7.9213176e-05,5.8756676e-05,6.3667074e-05,7.290812e-05,0.00021468615,0.00034032296,6.451737e-05,0.00013827952,0.00021223305,0.00018479256
L2754,9.4073825e-05,4.5527704e-05,2.6327558e-05,4.216656e-05,0.00058780424,0.00023404695,0.0003429316,0.000104974955,1.7832965e-05,4.1732565e-05,0.0001114076,1.6468577e-05,1.4316291e-05,8.170493e-05,0.0001478754,5.2077696e-05,0.0012110546,0.000986238,0.00015409943,7.892586e-05,2.0758249e-05,5.4223463e-05,0.00012512133,0.000120635144,1.5757978e-05,1.4108606e-05,8.102506e-06,9.8694116e-05,4.391186e-05,1.986418e-05,2.0832755e-05,9.634532e-06,0.000111833215,8.226e-05,4.9322844e-06,8.464791e-05,0.00020409841,0.0003076177,8.2864426e-05,0.00017754827,0.0001503611,0.00018190313
L2798,5.2865595e-05,6.946409e-05,0.00016639568,4.147878e-05,6.924756e-05,6.100489e-05,0.00013126573,7.4206386e-05,2.089329e-05,5.3787604e-05,0.00012331363,7.715076e-06,2.2388529e-05,5.2119605e-05,0.00010533398,0.00014995178,0.00047334004,0.00044588186,0.00016874354,0.00025844434,9.4393734e-05,5.0019473e-05,7.9803634e-05,6.846711e-05,1.9883737e-05,2.2105407e-05,1.5913043e-05,4.5981258e-05,2.7397182e-05,5.2386895e-06,7.2130933e-07,1.0086689e-05,6.310502e-05,4.5159366e-05,0.00011563301,3.6379788e-05,0.00015982799,0.00020023435,4.6317466e-05,0.000107629225,0.0001122565,0.00012430968
L2799,4.925579e-05,6.90897e-05,0.00013386505,3.3259857e-05,0.00025479216,0.00026909448,0.0001274501,7.522432e-05,1.6746577e-05,3.901124e-05,9.826245e-05,4.0619634e-06,1.6993843e-05,5.6252815e-05,0.00010697218,0.00032066507,0.0003388864,0.00038895523,0.00017457455,0.00027640723,8.668797e-05,4.2529777e-05,8.552894e-05,7.3513016e-05,1.5263911e-05,1.2040604e-05,4.1909516e-08,6.321119e-05,2.957834e-05,3.5632402e-06,5.2452087e-06,6.695278e-06,6.837631e-05,4.974613e-05,0.00012738584,3.9326027e-05,0.000161123,0.00020522159,5.1308423e-05,0.00011154171,9.469595e-05,0.00012355251
L2806,0.00024098088,6.654719e-05,6.151013e-05,2.2585737e-05,1.7231796e-05,3.746315e-05,0.00018714485,3.2767188e-05,6.2847976e-06,1.4348421e-05,3.774115e-05,4.0784944e-06,6.1003957e-06,2.5221845e-05,4.6445988e-05,7.726741e-05,8.007232e-05,0.0002382826,7.987511e-05,0.00012090057,4.107156e-05,1.3171462e-05,3.5913894e-05,3.043795e-05,4.7148205e-06,2.8412323e-06,3.1781383e-06,2.7687056e-05,1.1906028e-05,3.973255e-06,2.6576221e-05,2.02097e-06,2.8187875e-05,2.0724488e-05,6.312644e-05,2.2339635e-05,6.598956e-05,8.138758e-05,2.1211337e-05,4.5283698e-05,3.5262667e-05,4.8087677e-05
L2819,0.0001977242,3.613904e-05,8.9898705e-05,3.4615863e-05,2.3900531e-05,5.5953395e-05,0.00030404283,4.814705e-05,9.1334805e-06,2.0643696e-05,5.476363e-05,6.534625e-06,8.6976215e-06,3.7078746e-05,6.8238005e-05,0.00011554919,0.000101558864,0.00036473596,0.000119157135,0.00017904048,6.184634e-05,1.8677674e-05,5.29401e-05,4.4775195e-05,6.7083165e-06,4.004687e-06,4.9155205e-06,4.0621497e-05,1.7405953e-05,6.1872415e-06,4.581129e-05,2.9224902e-06,4.13768e-05,3.0464493e-05,9.4936695e-05,3.4032855e-05,9.710388e-05,0.000119036995,3.11248e-05,6.6516455e-05,5.1779673e-05,7.0188195e-05
L2821,2.8006965e-05,7.712282e-06,7.026759e-05,4.6532834e-05,4.854286e-06,2.4088891e-05,0.00030853064,4.749e-05,8.098315e-06,1.751678e-05,4.896801e-05,5.2209944e-06,6.8019144e-06,3.7097838e-05,6.721588e-05,5.2964315e-05,0.00033323164,0.00024610222,4.778267e-05,0.00011098245,1.2102304e-05,2.440624e-05,4.334678e-05,3.9818e-05,5.4722186e-06,3.1944364e-06,4.868023e-06,3.592274e-05,1.5230151e-05,6.2067993e-06,8.7176915e-05,2.5981572e-06,3.804057e-05,2.807239e-05,3.2268e-05,5.3446274e-06,7.554842e-05,0.00010624551,2.7994392e-05,5.9971586e-05,4.6694884e-05,6.241049e-05
L2827,6.574346e-05,1.5679281e-05,7.5158896e-05,1.016492e-05,3.577955e-05,7.525948e-05,0.00025269855,4.2332802e-05,7.4259005e-06,1.6386155e-05,4.492863e-05,1.0183547e-05,6.5423083e-06,3.303308e-05,6.0000457e-05,0.00015747757,0.0003655001,0.00033325376,0.00025672698,0.00028203102,0.00012168754,7.315073e-06,6.0813036e-05,4.7716312e-05,6.165821e-06,3.5478733e-06,6.245449e-06,4.2849686e-05,1.807604e-05,8.052215e-06,2.3324043e-05,2.951827e-06,4.4326298e-05,3.277883e-05,0.00015289895,6.71288e-05,0.00011412706,0.00012735138,3.3773948e-05,7.246854e-05,5.6388788e-05,7.451279e-05
L2829,6.912439e-05,1.5329337e-05,7.233163e-05,6.109476e-07,2.994272e-05,0.00011851592,0.00015518907,4.238286e-05,7.3588453e-06,1.616194e-05,4.4553075e-05,1.2397999e-05,6.4123888e-06,3.312924e-05,6.008218e-05,0.00018692412,0.00020761928,0.00030148937,0.00041108835,0.0002952069,0.00016607856,2.134731e-05,6.529223e-05,4.8728194e-05,6.311573e-06,3.6330894e-06,6.3576736e-06,4.3765176e-05,1.8459279e-05,8.189119e-06,1.7713755e-05,3.0240044e-06,4.532188e-05,3.351271e-05,0.00015809573,6.5957196e-05,0.00011453405,0.00012998702,3.4467783e-05,7.396657e-05,5.7564583e-05,7.6067634e-05
L2832,6.98322e-05,1.6064616e-05,6.939657e-05,8.193776e-06,2.4051638e-05,8.636108e-05,0.00013306201,4.2056432e-05,6.978633e-06,1.5058555e-05,4.2435713e-05,1.3132114e-05,5.7462603e-06,3.3087097e-05,5.9599057e-05,0.00018806243,0.00015110103,0.00027614855,0.0005018695,0.0002721101,0.00031398982,0.00015349081,7.621152e-05,4.8656482e-05,5.966518e-06,3.375113e-06,6.708782e-06,4.3532345e-05,1.8277671e-05,8.706469e-06,1.3205688e-05,2.9527582e-06,4.5293476e-05,3.3565797e-05,0.00014513265,4.6023168e-05,0.00010478543,0.00012808247,3.4110155e-05,7.326715e-05,5.7000667e-05,7.476192e-05
L2835,7.115072e-05,1.4483929e-05,6.332528e-05,1.0082498e-05,2.0718435e-05,6.914558e-05,0.000115179224,3.862451e-05,6.3895714e-06,1.369114e-05,3.8791448e-05,1.2328615e-05,5.1893294e-06,3.0339928e-05,5.4698903e-05,0.00017466093,0.00054968987,0.00020951079,0.00018540444,0.000322395,0.00012988085,7.952098e-06,5.921861e-05,4.64567e-05,5.47152e-06,3.0640513e-06,6.6454522e-06,4.146574e-05,1.735799e-05,8.652452e-06,1.5939586e-06,2.7925707e-06,4.3325592e-05,3.2112934e-05,7.7755656e-05,3.5918783e-05,6.4371154e-05,0.00011849776,3.1614676e-05,6.7952555e-05,5.2874442e-05,6.911671e-05
L2836,0.00014139386,1.1376105e-05,6.766943e-05,1.0542106e-05,1.9978732e-05,7.4265525e-05,0.0001270785,4.3208245e-05,6.783288e-06,1.4003832e-05,4.1188207e-05,1.4449935e-05,5.0128438e-06,3.4071505e-05,6.114971e-05,0.00018704636,0.00025518239,0.00039335014,0.0001698304,0.00043992186,0.00014398387,1.7642975e-05,5.9200916e-05,4.7299545e-05,4.7599897e-06,2.500601e-06,7.5884163e-06,4.1878782e-05,1.7275568e-05,1.0007061e-05,8.8009983e-07,2.6887283e-06,4.40781e-05,3.2807235e-05,0.00026805326,0.00025237259,2.2006687e-05,0.0001044306,2.8197188e-05,6.0781837e-05,4.7248323e-05,6.0468912e-05
L2839,8.163368e-05,1.7477665e-05,6.993394e-05,1.0818243e-05,2.0664651e-05,7.6917466e-05,0.00013133558,4.4615008e-05,6.99237e-06,1.4480669e-05,4.2506028e-05,1.4837366e-05,5.1935203e-06,3.5247765e-05,6.318092e-05,0.00019312045,0.00039519696,0.0005713878,0.00014931988,0.00033232477,0.00012662122,1.2568664e-05,5.885074e-05,4.6839006e-05,4.634261e-06,2.4200417e-06,7.632654e-06,4.1407067e-05,1.7109327e-05,1.0116957e-05,1.039356e-06,2.6267953e-06,4.3711625e-05,3.2577664e-05,1.472421e-06,0.00011740439,3.0032359e-05,0.00011324836,3.058696e-05,6.5931585e-05,5.1244628e-05,6.555347e-05
L2842,6.9823116e-05,5.5730343e-06,6.5179076e-05,1.0183081e-05,1.914706e-05,7.1435235e-05,0.0001225262,4.169531e-05,6.579794e-06,1.3500452e-05,3.9819628e-05,1.4035497e-05,4.8344955e-06,3.2790005e-05,5.8986247e-05,0.00018039346,0.00011969684,0.00027564587,0.0001681326,0.00048739696,0.00016356166,2.1684915e-05,5.7512894e-05,4.6172645e-05,4.558824e-06,2.3776665e-06,7.515773e-06,4.0836632e-05,1.6846694e-05,9.927899e-06,6.300397e-07,2.6030466e-06,4.3052714e-05,3.2057986e-05,0.0004517506,0.00038330955,7.618964e-05,9.406498e-05,2.5400426e-05,5.4755248e-05,4.2569358e-05,5.4473057e-05
L2845,8.504512e-05,2.3783185e-05,8.720439e-05,1.3465062e-05,2.4203211e-05,9.6200034e-05,0.0001670164,5.718833e-05,8.822884e-06,1.7693266e-05,5.329447e-05,1.97771e-05,6.105751e-06,4.4950284e-05,8.076476e-05,0.00024187099,0.00013139797,0.00033951364,0.00022445526,0.00036859792,0.00012418488,2.7815811e-05,7.3769595e-05,5.955249e-05,5.3090043e-06,2.632849e-06,1.0293443e-05,5.24302e-05,2.1465123e-05,1.3670418e-05,5.848706e-07,3.2521784e-06,5.551474e-05,4.1426625e-05,0.00019797776,8.891942e-05,0.00014308933,0.00015460327,4.2079017e-05,9.091105e-05,7.06655e-05,8.9130364e-05
L2846,5.013193e-05,6.6449866e-07,4.916056e-05,7.561641e-06,1.3615238e-05,5.4219505e-05,9.415462e-05,3.2224692e-05,4.9714e-06,9.960495e-06,3.0018156e-05,1.1140481e-05,3.4351833e-06,2.534897e-05,4.554796e-05,0.0001363107,8.008117e-05,0.00019916683,0.00012608035,0.00028753048,9.727315e-05,1.5982427e-05,4.2844797e-05,3.4576282e-05,3.0873343e-06,1.5320256e-06,5.9739687e-06,3.0442141e-05,1.2466684e-05,7.934868e-06,3.4831464e-07,1.8868595e-06,3.2235403e-05,2.4056528e-05,0.00010709255,8.763955e-05,3.2677315e-05,8.056569e-05,2.1933112e-05,4.7382433e-05,3.682333e-05,4.6433648e-05
L2847,0.00023099966,4.5473687e-05,5.3793192e-05,1.2609176e-05,0.00039236248,0.00027535483,0.00032531563,0.000101792626,1.687929e-05,3.5819598e-05,0.000101221725,3.8115308e-05,1.4225952e-05,7.97892e-05,0.00014359504,0.00023353938,0.00082542654,0.00025913026,8.061621e-05,0.0003868211,0.000104615465,5.2097254e-05,0.00012773089,0.000112255104,1.3425946e-05,9.327196e-06,1.3425946e-05,9.623356e-05,4.158076e-05,2.0989217e-05,1.2690201e-05,7.4412674e-06,0.00010471232,7.74255e-05,0.00017724186,4.205201e-05,0.000227632,0.00029364508,7.8745186e-05,0.00016821083,0.00013733748,0.00017023925
L2848,0.00018555485,5.824212e-05,0.00012858771,6.2808394e-06,0.0003818106,0.00027815718,0.00038646162,0.00015189778,2.4557114e-05,5.1473267e-05,0.00014795363,3.9591454e-05,1.9631349e-05,0.000119192526,0.0002141241,0.00017708354,0.0003414089,8.261204e-05,4.3343753e-06,0.0003013406,5.892478e-05,6.310083e-05,0.0001607202,0.00014722534,1.6290694e-05,1.0695308e-05,1.9734725e-05,0.00012689643,5.4067e-05,2.9405579e-05,2.7101487e-06,9.315088e-06,0.00013741106,0.000101862475,0.00012091175,1.9041821e-05,0.00026949868,0.00037701987,0.0001015421,0.0002175197,0.00017566234,0.00021818094
L2849,3.0735275e-05,6.210059e-06,1.173676e-05,1.5408732e-06,5.088281e-05,3.6791433e-05,5.171029e-05,2.0819716e-05,3.6070123e-06,6.6380017e-06,2.0594569e-05,3.887806e-06,1.8120278e-05,1.6480451e-05,2.816366e-05,2.5020214e-05,5.062297e-05,8.337898e-06,1.6561244e-06,3.9648265e-05,6.937422e-06,8.285278e-06,1.9903993e-05,1.641456e-05,7.730676e-06,6.817281e-07,7.867115e-06,2.4603447e-05,1.2794742e-05,1.8039718e-06,8.076895e-07,1.1071097e-06,1.8344494e-05,1.2808014e-05,1.7986167e-06,6.3276384e-06,1.6665785e-05,7.418473e-05,1.4559599e-05,2.2677938e-05,1.8997118e-05,3.234949e-05
L2850,3.4683617e-05,8.175848e-06,5.8653764e-05,1.5225029e-05,1.0337448e-05,5.105976e-07,0.00011761789,3.655767e-05,6.033806e-06,1.2748875e-05,3.6466634e-05,2.9662624e-07,4.767673e-06,2.8542941e-05,5.159015e-05,4.5396388e-05,0.00038004434,0.00026523555,6.5166736e-05,6.9647795e-05,3.4915516e-05,8.718111e-06,2.3341272e-05,2.4887268e-05,2.904795e-06,1.6086269e-06,3.5930425e-06,2.2217631e-05,9.296229e-06,4.6871137e-06,7.5127464e-06,1.4908146e-06,2.330821e-05,1.7287908e-05,4.516123e-05,4.599057e-05,2.9756455e-05,6.11539e-05,1.631584e-05,3.5054283e-05,2.7260277e-05,3.565708e-05
L2851,4.475331e-05,1.1878088e-05,7.445831e-05,1.899479e-05,1.1447817e-05,2.011191e-06,5.8345962e-05,4.8926566e-05,7.705297e-06,1.5897676e-05,4.6735164e-05,8.442439e-07,5.651731e-06,3.8352795e-05,6.890949e-05,5.7040248e-05,0.00048486004,0.0003409232,8.4391795e-05,8.6799264e-05,4.5331428e-05,1.10513065e-05,3.186823e-05,3.384892e-05,3.171619e-06,1.6149133e-06,5.6936406e-06,2.9864023e-05,1.227716e-05,7.549068e-06,9.847339e-06,1.8838327e-06,3.1670555e-05,2.360763e-05,5.6868186e-05,6.029848e-05,4.050811e-05,8.154148e-05,2.210983e-05,4.771282e-05,3.7087826e-05,4.711072e-05
L2894,1.1001248e-05,4.8734713e-05,2.7248636e-05,6.636139e-06,7.045455e-07,0.0001429203,7.857708e-05,1.7671846e-05,2.250541e-06,7.714145e-05,0.00010299543,6.0291495e-05,0.0001604557,9.17539e-06,1.7131679e-06,9.307172e-06,1.5054829e-05,2.933992e-05,2.8917566e-06,3.4654047e-05,3.512064e-05,2.5760382e-05,5.723117e-05,0.00043694628,0.00073734066,0.0004781126,0.00017319294,0.00064529665,3.7389807e-05,0.00091832597,0.0003816639,9.694137e-05,0.00011430634,2.5899615e-05,0.0005641002,0.00016631186,0.0002722754,0.0007550763,0.0004075896,0.00013788184,0.0010762755,0.0007954743
L2901,2.0608306e-05,2.806075e-05,4.1967258e-05,8.11927e-06,2.1071173e-06,2.4368055e-05,8.721836e-07,1.0153279e-05,1.931563e-06,5.575223e-05,4.673563e-05,1.303386e-06,0.00012589851,0.00021332037,4.347414e-06,2.3564324e-05,3.517e-05,4.207669e-05,1.02319755e-05,1.577381e-05,4.0112995e-05,2.5781337e-05,4.072208e-05,0.0003407332,0.000151732,0.00026181573,0.0006764764,0.00040566456,0.00020767935,0.00013185991,1.3137702e-05,0.00010669604,0.0002694577,0.00029168744,0.0003158464,0.0004516365,0.00015929528,0.0005118451,0.00012766849,3.445428e-05,0.0012078406,0.00015591364
L2902,9.234296e-06,1.8371502e-05,3.596139e-05,7.4151903e-06,1.0182615e-05,2.1055806e-05,1.6999897e-05,1.4323043e-05,4.668953e-06,4.743319e-05,4.790048e-05,2.114568e-06,8.5776905e-05,0.00016852841,1.2945849e-05,1.3716519e-05,2.9342249e-05,3.5770703e-05,7.822644e-06,2.3280503e-05,3.6599115e-05,2.649054e-05,3.9432663e-05,0.00029551424,0.00013301917,0.00020767283,0.0009484021,0.0003497121,8.799974e-05,0.000112449285,1.2725126e-05,9.3087554e-05,0.00045037456,0.00026666513,0.00030538533,0.0004176111,0.00013828045,0.00050929375,0.000110917725,2.3650471e-05,0.0011183191,0.0001584529
L2913,2.564909e-05,2.0953361e-05,3.1106174e-05,5.583279e-06,3.0784868e-06,1.73538e-05,2.7697533e-06,6.9309026e-06,1.0188669e-06,3.906293e-05,2.5007874e-05,6.5378845e-07,0.00010667881,0.00033455808,2.1127053e-06,2.1523796e-05,2.4250243e-05,2.7514994e-05,1.5753321e-06,4.0112063e-06,2.5266781e-05,1.296401e-05,3.1102914e-05,0.0002685166,4.293397e-05,0.00032122433,0.00056243734,0.00037471438,0.00018236181,0.0001246049,1.0489952e-05,9.3823764e-05,0.00022657355,0.00024546823,0.0003151074,0.00040804036,0.00014256593,0.00043241726,0.00011587422,3.116578e-05,0.0010693381,0.000115108676
L2927,1.1308584e-05,4.9585942e-05,4.376285e-06,1.2199394e-05,6.3959975e-05,4.7301408e-05,0.00017108908,6.70068e-05,1.2399163e-05,4.6365894e-06,5.2624848e-05,0.00012028264,0.00033673435,0.000325897,5.0995033e-05,6.141467e-05,2.9360875e-05,3.4588855e-05,3.7203543e-05,8.6543616e-05,1.3099052e-06,3.642263e-05,5.9397426e-05,0.00014053471,0.00015765475,0.0001400439,0.00041727256,9.59239e-05,0.00012448896,5.4519624e-05,1.0253396e-05,3.557233e-05,0.00022724131,0.00021694554,0.00023025507,7.0237555e-05,4.987931e-05,0.00022680406,5.5281445e-05,3.262749e-05,0.00016585877,8.17636e-05
L2935,5.109748e-05,8.982606e-07,2.5140122e-05,4.7399662e-06,2.1866057e-05,3.9956998e-05,7.5983815e-05,3.3168122e-05,8.391682e-06,2.0272564e-05,6.605871e-06,0.0001351866,8.983025e-05,8.118339e-05,4.3697655e-06,3.0430965e-06,1.1434779e-05,5.1008537e-06,5.1162206e-06,3.7965365e-05,2.6593916e-06,8.258037e-06,5.594315e-05,0.00015579304,2.9911753e-05,0.0001153443,0.00021301396,0.00045927893,0.00012681121,0.00016160915,1.3543293e-05,7.801643e-05,6.652856e-05,7.2924886e-05,0.00041633518,0.0004366613,0.00019616308,0.00048321625,0.00012055179,4.2091124e-05,0.0010448582,0.00011889171
L2995,5.3789845e-06,6.0451857e-06,1.8873397e-06,5.4029806e-07,6.581249e-06,7.651499e-06,2.0076492e-05,9.309821e-06,1.9790605e-09,3.6149868e-07,3.233261e-06,1.6519771e-06,3.1584932e-07,7.733484e-06,1.0901873e-05,3.88184e-06,4.833855e-06,6.6341454e-06,5.396185e-06,6.0996535e-06,1.775159e-06,4.9729715e-07,7.245064e-06,7.828217e-06,1.3074605e-06,4.683825e-07,6.46236e-07,3.924026e-06,1.4322432e-06,1.5195546e-06,6.210321e-07,2.3339817e-06,5.0535746e-06,3.5474513e-06,8.14136e-07,4.279078e-06,1.0845091e-05,1.5957543e-05,3.5458506e-06,1.2128119e-05,1.5555925e-05,1.2384844e-05
L3208,1.3464014e-06,9.906915e-06,4.1561434e-06,9.761134e-07,1.2891542e-05,1.1682801e-05,3.4302502e-05,1.4796504e-05,2.1160522e-06,2.3078173e-06,1.0281074e-05,3.6008132e-06,2.7703936e-07,1.1661759e-05,1.9552012e-05,9.286479e-06,4.5045454e-06,4.438247e-06,7.0709502e-06,2.0058244e-05,4.442729e-06,3.8649305e-06,1.6223406e-05,1.6010454e-05,3.866735e-07,6.556511e-07,2.4861947e-06,8.263771e-06,1.3285317e-06,1.225475e-06,1.304812e-06,3.7862046e-06,1.1877186e-05,8.693663e-06,4.888454e-06,8.929899e-06,2.169385e-05,2.7224043e-05,7.913448e-06,2.3800763e-05,2.6738562e-05,1.9237166e-05
L1334,3.777072e-05,4.213862e-05,8.814782e-05,1.3638288e-05,6.646849e-06,4.7224574e-05,2.3534521e-06,1.5938655e-05,1.7937273e-06,7.913727e-05,5.8230944e-05,1.3289973e-06,0.0005566301,7.146038e-05,1.9663014e-05,4.3381937e-05,5.3992495e-05,5.325023e-05,3.927201e-05,3.8129278e-05,5.628541e-05,3.805943e-05,6.7938585e-05,0.00022127898,0.00038437825,0.00012795068,0.00032576453,0.0003857268,0.00026020594,0.00014839787,4.827045e-06,0.00012501515,0.00012212899,3.0296855e-05,0.00082284585,0.0003289124,0.000981586,0.0013838443,9.940425e-05,0.0003845729,0.00014902465,0.00014301715
L1757,2.3724977e-05,2.9430259e-05,3.809482e-05,1.5511177e-06,2.2341497e-05,8.279923e-06,5.6111254e-05,1.655845e-05,9.773765e-06,1.8771272e-05,1.2886245e-05,8.491799e-06,0.00046341354,0.00012192782,5.7912897e-05,3.8056634e-05,2.2162218e-05,1.2769364e-05,2.8733164e-05,1.7955434e-05,6.1253086e-06,4.9611554e-06,2.477318e-06,0.00015841844,0.00055209175,0.00012600841,0.0003431756,2.5394373e-05,7.248949e-05,2.3286324e-05,9.381678e-06,2.2442546e-05,0.00012468547,0.00024992507,0.0011679679,0.00011781184,0.0011087649,0.00022469996,6.313436e-05,0.0005152123,0.00016279705,0.00015051384
L2899,2.3516826e-05,2.7534552e-05,3.8983766e-05,1.9841827e-06,1.93608e-05,1.0009389e-05,4.9363356e-05,1.3887882e-05,9.255018e-06,1.90055e-05,1.0741875e-05,7.329043e-06,0.00045969943,0.00012407172,5.389657e-05,3.604591e-05,2.142787e-05,1.2118835e-05,2.8285664e-05,1.3585668e-05,6.8116933e-06,3.4691766e-06,5.328562e-06,0.0001561842,0.00055020023,0.00012657745,0.00034434674,2.0625535e-05,7.065758e-05,2.300879e-05,9.32999e-06,2.2001099e-05,0.00012749387,0.00025145384,0.0011639353,0.00011795899,0.0010729418,0.00041343202,6.2925275e-05,0.0005091012,0.00019512139,0.00011936203
L1473,8.118991e-05,1.1308119e-05,4.111044e-05,1.2863427e-05,3.3072196e-05,5.6879595e-05,0.00012599025,5.4808334e-05,1.3271347e-05,5.4465607e-05,2.8295442e-05,7.964671e-06,5.0329603e-05,4.720129e-05,5.3162687e-05,2.702698e-06,2.0657666e-05,1.9598752e-05,3.0376948e-05,7.135421e-05,1.818221e-05,1.9077212e-05,0.00010365527,9.459257e-05,2.6931986e-05,0.0001592543,0.0005858969,0.0010213079,0.00065230764,0.0013538795,9.633787e-05,0.00026374497,0.00012918003,2.1474436e-05,0.00061002374,0.0015844349,0.00023858808,0.00069973245,5.394779e-05,0.00016348995,0.0044564176,0.00062442385
L1477,8.071121e-05,1.2692995e-05,4.1119754e-05,1.2601726e-05,3.2203272e-05,5.6715682e-05,0.00012404937,5.4176897e-05,1.3560057e-05,5.5121258e-05,2.8372742e-05,7.5772405e-06,5.0478615e-05,4.672073e-05,5.215127e-05,3.2261014e-06,2.0318665e-05,1.8969178e-05,2.9618852e-05,7.126108e-05,1.8531457e-05,1.9314699e-05,0.000103658065,9.463914e-05,2.7811155e-05,0.00016031228,0.00058906525,0.0010198411,0.0006537512,0.0013524164,9.614043e-05,0.0002646614,0.00013005175,2.2338703e-05,0.00061050616,0.0015834961,0.00023903511,0.00069936365,5.4605305e-05,0.00016229227,0.0044562854,0.0006233398
L1478,7.2814524e-05,1.4051795e-05,3.7467107e-05,1.1294149e-05,2.7830712e-05,5.18281e-05,0.000108565204,4.811585e-05,1.2394041e-05,5.163066e-05,2.6900321e-05,5.525537e-06,4.6585687e-05,4.1310675e-05,4.4942833e-05,4.1853637e-06,1.7285347e-05,1.5311874e-05,2.551172e-05,6.389432e-05,1.8049963e-05,1.852028e-05,9.401608e-05,8.436013e-05,2.8486364e-05,0.00014567096,0.0009394139,0.0009267153,0.00075654034,0.0013658432,0.00017988868,0.0002728235,0.00014658459,2.2495165e-05,0.00058608595,0.0015758108,0.00023288094,0.0006554667,3.2313168e-05,0.00015424006,0.004493838,0.0006517861
L1479,7.169228e-05,1.5412457e-05,3.749784e-05,1.11488625e-05,2.7231872e-05,5.155895e-05,0.0001067454,4.762318e-05,1.2464821e-05,5.2506104e-05,2.7536415e-05,5.03473e-06,4.7218055e-05,4.0739775e-05,4.4041313e-05,4.546717e-06,1.6790815e-05,1.4362857e-05,2.4782494e-05,6.404519e-05,1.863204e-05,1.8957071e-05,9.426288e-05,8.460507e-05,2.9319897e-05,0.00014782976,0.0009410959,0.0009219274,0.000758172,0.0013640989,0.00017951708,0.00027344842,0.00014737528,2.3391098e-05,0.0005860962,0.0015753303,0.00023348443,0.00065441243,3.292784e-05,0.00015313923,0.004494611,0.00065072067
L1480,6.9991685e-05,1.663901e-05,3.748946e-05,1.0965392e-05,2.6665628e-05,5.1379204e-05,0.00010509882,4.715938e-05,1.2459233e-05,5.341228e-05,2.8416514e-05,4.428439e-06,4.8044138e-05,4.0206127e-05,4.3329783e-05,4.7273934e-06,1.6272068e-05,1.3388693e-05,2.4098903e-05,6.437674e-05,1.9182451e-05,1.9360334e-05,9.452924e-05,8.483883e-05,3.0112453e-05,0.00015029497,0.0009422535,0.00091996416,0.0007592952,0.0013627736,0.00017937738,0.00027423538,0.00014803465,2.39918e-05,0.0005866764,0.0015743561,0.00023389235,0.00065393746,3.3507124e-05,0.00015214644,0.004494095,0.0006498173
