,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L1436,4.8591755e-07,2.757879e-07,6.494811e-07,7.173512e-07,2.3772009e-07,2.8859358e-07,5.548354e-07,1.2142118e-07,1.8742867e-07,2.3008324e-06
L1448,6.44126e-07,3.0419324e-07,7.675262e-07,9.5088035e-07,3.1513628e-07,3.8265716e-07,7.4284617e-07,1.6100239e-07,2.4191104e-07,3.1361124e-06
L1455,8.6118234e-08,9.551877e-08,1.04133505e-07,1.2747478e-07,4.2447937e-08,5.1193638e-08,1.1625525e-07,2.188608e-08,1.7767888e-08,6.081682e-07
L1487,6.4098276e-07,8.8447996e-07,1.0926306e-06,8.6093496e-07,4.995236e-07,2.971792e-07,9.771611e-08,9.649957e-07,9.415089e-08,1.067936e-06
L1491,2.4048495e-07,1.4234683e-07,1.0430813e-07,3.534078e-07,1.17113814e-07,1.3897079e-07,1.9354047e-07,5.01459e-08,6.1816536e-08,
L1492,1.18176104e-07,6.9936505e-08,5.128095e-08,1.7363345e-07,5.752372e-08,6.8277586e-08,9.512587e-08,2.4636392e-08,3.0369847e-08,6.456248e-07
L1516,2.4902227e-05,2.2719032e-06,2.4883193e-06,1.7102982e-05,4.2985776e-06,5.5598794e-06,2.3667235e-06,1.3133977e-06,2.2791792e-06,3.8342434e-05
L1530,6.4276683e-06,1.5279802e-06,5.206821e-06,8.489631e-06,2.710396e-06,2.3279717e-06,9.567302e-07,4.348927e-06,3.6566053e-07,
L1531,3.6754427e-06,3.3141987e-07,2.5893023e-06,4.3590626e-06,1.90828e-06,1.4300022e-06,4.2025204e-07,2.1259475e-06,5.157999e-07,8.590185e-06
L1566,9.752577e-06,1.1493918e-05,2.5266781e-06,1.5731086e-05,5.301088e-06,8.15338e-06,4.7192443e-06,9.728828e-07,4.5687193e-06,6.636698e-05
L1585,2.7910282e-06,3.3678953e-07,1.5573751e-06,3.9199367e-06,8.6583896e-07,1.3298122e-06,1.0715157e-06,1.5827827e-06,6.048358e-07,
L1587,6.0618913e-06,6.577757e-07,3.4497061e-06,8.532254e-06,1.91867e-06,3.0100928e-06,2.4815672e-06,3.4963596e-06,1.3275421e-06,
L1612,1.0646181e-06,1.2375531e-06,4.3050386e-07,1.9417494e-06,4.6775676e-07,7.105875e-06,4.1604508e-06,6.038463e-07,1.781038e-06,4.592864e-05
L1618,4.867761e-07,3.9787847e-07,6.3960033e-07,5.9918966e-07,1.05646905e-08,9.336509e-08,7.641793e-07,5.865586e-07,6.967457e-08,2.6105845e-06
L1620,4.0828309e-07,4.3092587e-07,6.0648017e-07,2.5374175e-07,5.21497e-07,7.942435e-08,7.6155993e-07,3.6132406e-07,2.4227484e-07,2.3040484e-06
L1643,2.1458138e-05,6.624032e-08,1.2565462e-05,4.9063645e-05,1.8234772e-05,5.3933472e-06,2.484303e-06,8.545991e-06,3.0791853e-07,0.00021983898
L1666,2.6114067e-06,2.6688213e-08,2.1266605e-06,3.992187e-06,1.7037019e-06,1.2377059e-06,4.072499e-07,1.5623446e-06,5.009497e-07,7.638941e-06
L1671,2.2925306e-06,4.3956243e-07,1.6423583e-06,3.535708e-06,1.4183024e-06,1.0626027e-06,3.2458775e-07,1.4422403e-06,4.2956526e-07,
L1678,2.620509e-06,3.7776772e-08,1.8562132e-06,4.777452e-06,5.9828744e-07,1.0183139e-06,5.624315e-07,1.706183e-06,5.6973542e-05,4.2388856e-06
L1683,4.6231144e-06,8.108327e-08,3.5336125e-06,8.656032e-06,1.2961682e-06,1.811015e-06,9.0742833e-07,2.818124e-06,2.750312e-08,
L1708,6.346707e-05,6.7887944e-05,2.8524431e-05,4.1706953e-06,3.484916e-05,1.9199913e-05,5.704933e-06,2.3326487e-05,5.757902e-07,2.285454e-05
L1728,3.6631303e-05,3.3380347e-06,1.1139549e-05,1.936825e-05,6.828923e-07,4.8426446e-06,1.5639991e-05,1.1091761e-05,4.8614456e-05,1.9945437e-05
L1767,4.2867614e-06,3.149698e-05,2.1940912e-05,2.8330483e-05,2.9356452e-06,1.050299e-05,4.7888607e-06,2.2848137e-05,6.2888954e-05,8.157792e-05
L1769,4.344154e-06,3.1522708e-05,2.1823798e-05,2.86547e-05,3.2081734e-06,1.067936e-05,4.747417e-06,2.2690045e-05,6.2615145e-05,8.270319e-05
L1770,3.7387945e-06,3.352808e-05,2.2319262e-05,3.0957744e-05,3.882684e-06,1.1197873e-05,5.8589503e-06,2.3139874e-05,6.262516e-05,8.7169465e-05
L1790,4.6211644e-06,1.5378464e-07,4.798698e-06,8.183939e-06,2.1009182e-06,2.537592e-06,1.1449447e-06,3.628753e-06,5.227921e-07,
L1843,2.5236164e-05,5.479611e-06,1.9312662e-05,4.2601547e-05,9.550306e-06,8.761708e-06,3.7845457e-06,1.7372018e-05,2.0466978e-06,6.1683706e-05
L1849,2.7761416e-07,4.993126e-08,3.002824e-07,5.343609e-07,3.1091622e-07,1.3924364e-07,3.085006e-08,1.4639227e-07,2.3386747e-07,
L1856,5.111375e-06,1.4460384e-06,4.161804e-06,8.610878e-06,1.6976119e-06,1.6167323e-06,8.455536e-07,3.6537094e-06,5.802576e-07,2.1157874e-05
L1871,5.464608e-06,1.245935e-07,4.7102803e-06,7.773211e-06,2.3981556e-06,2.4242618e-06,1.0714139e-06,3.6810525e-06,1.3780664e-07,1.5969155e-05
L1884,2.1279338e-06,4.978647e-07,1.7604616e-06,5.3616095e-06,9.88468e-07,7.667695e-07,2.7606438e-07,1.4802717e-06,4.6500645e-08,6.1157843e-06
L1898,2.6745547e-06,7.035269e-07,2.1129817e-06,7.3017727e-06,9.218056e-07,9.140931e-07,4.7197682e-07,1.9917497e-06,3.7382415e-07,6.1557046e-05
L1904,8.369432e-06,1.9072322e-06,6.18372e-06,1.0490476e-05,2.4448964e-06,2.6532362e-06,1.3676472e-06,5.6422286e-06,1.1058437e-06,
L1943,1.5646219e-07,1.360022e-07,1.322187e-07,2.3150642e-07,7.705239e-08,9.2972186e-08,2.066372e-07,3.965397e-08,3.6277925e-08,1.0510703e-06
L2096,3.7575373e-06,1.5613186e-06,3.5140838e-06,1.0867181e-05,3.844849e-06,2.0833686e-06,1.2880628e-06,2.063549e-06,1.8380961e-06,
L2117,1.5288591e-05,1.8265564e-07,1.25708175e-05,3.0517112e-06,1.08904205e-05,7.73638e-06,,,,
L2131,3.5563717e-06,1.118704e-06,3.5289668e-06,5.677335e-06,3.9972692e-06,3.0332012e-06,6.004193e-07,3.0349001e-06,2.304987e-07,1.2963443e-05
L2136,4.780515e-06,1.6840058e-06,3.5460907e-06,6.175891e-06,1.3745303e-06,1.5800688e-06,8.271454e-07,2.7319547e-06,1.769804e-07,1.2570548e-05
L2154,5.665119e-06,2.2852037e-06,5.1619427e-06,1.4197867e-05,5.644746e-06,3.0711526e-06,1.6615668e-06,2.926885e-06,2.9317453e-06,
L2189,0.0001056068,5.1860057e-05,4.7068985e-05,8.142745e-05,3.1245756e-05,3.238878e-05,8.439936e-06,4.3783337e-05,1.3015291e-05,0.00018990994
L2194,3.7559366e-06,7.112103e-07,6.120157e-06,9.42609e-06,1.938257e-06,2.3524626e-06,1.1958182e-06,4.6320783e-06,9.004725e-08,1.9725325e-05
L2211,5.3929398e-08,1.8636638e-07,2.571178e-07,8.031202e-08,2.6760972e-08,3.2188836e-08,8.821371e-08,1.3867975e-08,2.1827873e-09,5.62708e-07
L2216,1.38243195e-08,1.542503e-07,2.3114262e-07,2.1012966e-08,7.014023e-09,8.411007e-09,3.5593985e-08,3.6379788e-09,1.17579475e-08,3.4896657e-06
L2219,1.9135769e-09,2.1405867e-08,3.2065145e-08,2.924935e-09,9.749783e-10,1.1641532e-09,4.940375e-09,5.020411e-10,1.6370905e-09,5.117181e-08
L2223,2.1900632e-08,6.035407e-08,8.115603e-08,3.2538082e-08,1.0855729e-08,1.3074896e-08,3.394962e-08,5.6097633e-09,7.1304385e-10,2.0643347e-07
L2227,1.4551915e-11,4.0017767e-11,5.820766e-11,1.8189894e-11,3.637979e-12,3.637979e-12,2.1827873e-11,3.637979e-12,3.637979e-12,1.2369128e-10
L2237,1.781882e-08,6.154005e-08,8.493225e-08,2.6520866e-08,8.8475645e-09,1.0644726e-08,2.9132934e-08,4.5693014e-09,7.203198e-10,1.8584251e-07
L2263,1.7888087e-05,1.5507394e-06,1.1541037e-05,,,,,,,
L2272,4.8523652e-06,4.409667e-07,3.1877425e-06,5.8474834e-06,1.9602012e-06,1.6071717e-06,6.895425e-07,2.556204e-06,5.5588316e-08,1.0689444e-05
L2291,2.2312626e-05,9.002164e-06,3.471505e-05,0.0013959408,5.3219963e-05,5.22919e-05,8.205883e-06,3.230665e-05,2.8451905e-07,7.496681e-06
L2298,1.6945793e-05,1.6402628e-06,1.5774858e-06,0.00016133822,1.260516e-06,5.2370888e-06,3.3556717e-07,1.9216968e-06,5.538459e-07,1.01411715e-05
L2299,1.1436081e-05,6.897153e-06,4.620768e-06,4.56729e-05,3.90457e-07,1.6284903e-06,9.2666596e-08,5.0337985e-07,2.1760206e-07,3.183537e-06
L2415,7.5029675e-08,3.985013e-06,0.00013679924,3.1286618e-08,1.03900675e-08,1.2572855e-08,1.656008e-07,5.326001e-09,2.2680615e-07,1.5857833e-05
L2416,3.297464e-08,1.7511484e-06,8.336647e-06,2.2177119e-08,7.363269e-09,8.934876e-09,1.17346644e-07,3.812602e-09,1.6065314e-07,2.9452203e-06
L2418,2.78058e-06,1.4466059e-07,1.7005077e-06,3.9871084e-06,1.0193326e-06,1.6479753e-06,1.2311793e-06,1.7727725e-06,6.102491e-07,
L2434,1.715764e-05,2.1677697e-06,1.5149708e-05,5.2983407e-05,8.071191e-06,1.0376796e-05,1.3593817e-06,1.1311728e-05,1.3448414e-05,1.3929559e-05
L2436,1.8495921e-06,7.759081e-08,1.5201513e-06,4.9890514e-06,2.0010339e-07,7.917988e-07,3.745663e-07,1.2313249e-06,7.8053563e-07,6.63221e-06
L2437,2.5701127e-05,4.1897874e-06,2.4477951e-05,8.377468e-05,5.169073e-06,1.6029226e-05,1.572771e-06,1.3607205e-05,1.3695215e-05,3.6684913e-05
L2468,7.275958e-12,4.3655746e-10,3.5288394e-09,7.275958e-12,3.637979e-12,3.637979e-12,2.910383e-11,3.637979e-12,4.3655746e-11,7.6761353e-10
L2474,1.1779775e-08,6.2557956e-07,2.804176e-06,7.894414e-09,2.6120688e-09,3.1723175e-09,4.1749445e-08,1.3460522e-09,5.7174475e-08,1.0446965e-06
L2483,5.0727976e-08,1.7526327e-07,2.4179462e-07,7.5495336e-08,2.514571e-08,3.0267984e-08,8.294592e-08,1.306762e-08,2.066372e-09,5.2916585e-07
L2487,3.555906e-07,3.0663796e-07,6.4022606e-07,5.1467214e-07,1.7153798e-07,2.0052539e-07,3.8353028e-07,9.03965e-08,1.5477417e-07,1.4709076e-06
L2498,2.1223968e-08,4.998583e-08,6.576738e-08,3.1512172e-08,1.0513759e-08,1.265289e-08,3.187597e-08,5.4278644e-09,1.5861588e-09,1.8782885e-07
L2502,1.8189894e-11,4.3655746e-11,5.0931703e-11,2.1827873e-11,1.0913936e-11,1.4551915e-11,2.5465852e-11,3.637979e-12,0.0,1.4915713e-10
L2610,2.1862215e-06,5.333277e-08,1.4604011e-06,3.0137453e-06,9.603536e-07,1.3389799e-06,8.4114436e-07,1.4996767e-06,1.895387e-07,1.4478472e-05
L2614,1.6126723e-06,7.377821e-09,1.0842341e-06,2.3505272e-06,7.3765113e-07,9.34102e-07,6.946502e-07,1.0948861e-06,2.8655631e-07,9.726908e-06
L2696,2.93224e-06,1.1383963e-07,2.0345324e-06,5.6374993e-06,5.997281e-07,1.2153614e-06,6.329792e-07,1.9041618e-06,5.973998e-07,8.588482e-06
L2727,5.0377566e-05,3.370922e-06,3.865664e-05,0.00017855747,2.273114e-05,1.4693243e-05,2.5243498e-06,1.8185005e-05,1.6105361e-05,9.635696e-07
L2728,4.3795095e-05,1.925975e-06,3.2729004e-05,0.00019228924,1.8641469e-05,1.1034077e-05,2.1833694e-06,1.47406245e-05,1.23078935e-05,2.2017164e-05
L2729,1.1283904e-05,1.7558341e-06,8.259143e-06,0.00018885039,1.3637706e-05,5.918555e-06,1.0507647e-06,9.237672e-06,8.668401e-06,2.1394924e-05
L2732,2.5838744e-06,1.3632962e-07,2.0037478e-06,5.433976e-06,8.2525366e-07,1.2417877e-06,3.9428414e-07,1.5425321e-06,3.2695243e-07,8.221454e-06
L2734,1.5750033e-05,2.742163e-07,1.1462835e-05,,,,,,,
L2737,8.09232e-06,9.674113e-07,7.1296818e-06,2.5128364e-05,3.7430436e-06,4.931062e-06,6.366172e-07,5.4099364e-06,0.00022812461,0.00014916644
L2738,8.773233e-06,1.124863e-06,7.726951e-06,2.799416e-05,4.5934576e-06,5.684851e-06,5.7183206e-07,6.1574974e-06,7.930968e-06,4.6418456e-05
L2741,4.917383e-06,4.853937e-07,4.2158354e-06,1.5057973e-05,2.1272863e-06,2.940913e-06,4.778558e-07,3.3486285e-06,0.0002170878,0.00017955985
L2744,1.4269899e-05,1.3503013e-06,1.37761235e-05,0.000111512665,1.4879042e-06,9.085808e-06,1.0691001e-06,7.1710674e-06,6.8036024e-06,5.3370604e-06
L2745,2.2561057e-05,3.5566045e-06,2.1646498e-05,9.063119e-05,3.7096906e-06,1.4237128e-05,1.2416858e-06,1.1850265e-05,1.2038159e-05,2.588483e-05
L2747,2.1342785e-06,2.487941e-07,1.7968778e-06,4.5592897e-06,7.350827e-07,1.1327575e-06,2.9802322e-07,1.2672826e-06,6.037226e-07,7.054521e-06
L2769,3.378409e-07,5.7615034e-07,1.4211582e-06,1.4206889e-05,6.494629e-07,2.2671484e-06,1.2704186e-07,5.264119e-07,3.1568197e-07,
L2775,5.6475983e-08,2.3140165e-06,1.1346929e-06,9.642503e-06,1.4961151e-06,1.0208896e-06,4.3384716e-07,3.9243605e-07,2.4253131e-06,5.9897247e-06
L2776,3.732057e-07,1.6874146e-06,8.303359e-07,7.2975636e-06,1.6197815e-05,1.0679505e-06,2.103825e-07,2.1772576e-07,2.2441436e-06,
L2784,3.7258724e-06,2.2231106e-06,4.4988265e-06,2.5350193e-05,3.2289674e-05,1.3446428e-05,2.685556e-08,1.5297992e-06,1.3297467e-06,5.0329836e-06
L2787,4.549118e-06,1.1670636e-06,2.5934132e-06,7.4025593e-06,2.9226081e-05,8.454648e-06,3.6059646e-07,1.690205e-06,3.9828592e-08,
L2790,9.45013e-06,6.1608735e-06,1.172669e-05,6.2862324e-05,8.215022e-05,4.021576e-05,7.969793e-07,4.0423765e-06,3.145833e-06,
L2808,5.1759125e-05,0.0001553435,0.00013154361,8.3373394e-05,1.10423425e-05,1.003145e-05,1.5029218e-06,5.9677986e-06,3.463356e-08,3.4936238e-06
L2809,1.7423532e-05,2.8029142e-05,4.4006447e-05,2.3284694e-05,1.15651055e-05,9.839656e-06,1.3117678e-06,5.453301e-06,2.325396e-07,5.8217556e-06
L2810,4.0507875e-06,8.147181e-05,5.6780875e-05,2.2256863e-05,1.1051714e-05,9.120326e-06,9.716023e-07,4.3983455e-06,5.014008e-07,1.0253047e-05
L2813,2.9183924e-05,0.00038022874,0.00031969452,1.0778662e-05,2.3838482e-05,1.9873609e-05,2.8006034e-06,1.1462602e-05,3.3841934e-07,8.432195e-06
L2814,5.1641546e-06,0.000115329836,8.437186e-05,1.9533152e-05,1.123565e-05,9.412994e-06,1.1454104e-06,4.9242517e-06,3.5838457e-07,7.6655415e-06
L2820,1.8235805e-05,6.776748e-05,7.108449e-05,3.7791728e-05,2.3945831e-06,1.3953832e-07,1.6778358e-07,5.2980613e-07,4.4325134e-08,5.2244213e-06
L2824,3.130485e-05,2.8488503e-05,2.4902081e-05,6.0140184e-05,5.0229137e-06,4.708825e-06,6.1036553e-07,2.551562e-06,1.1455268e-07,3.2843964e-06
L2825,2.36388e-05,3.8847822e-05,3.081902e-05,5.9796905e-05,4.6691275e-06,4.358095e-06,5.2002724e-07,2.2366585e-06,1.5355181e-07,3.9681036e-06
L2838,4.9363123e-05,5.154405e-06,2.348586e-05,0.00074855285,1.4987774e-05,3.2999786e-05,5.12111e-06,2.0231819e-05,1.10361725e-07,5.8491714e-06
L2841,8.176605e-06,1.0806252e-06,3.2549724e-06,0.00020655818,8.15274e-06,5.7721045e-06,9.3801646e-07,3.6521815e-06,7.299241e-08,2.3044413e-07
L2859,1.0942109e-05,8.8714296e-07,6.3208863e-06,3.6180776e-05,1.5167519e-05,4.948117e-06,2.0266743e-06,7.1248505e-06,6.693881e-08,0.00016758134
L2861,1.9798172e-05,2.5935005e-06,1.3080193e-05,2.668635e-05,2.4462584e-05,3.9890874e-06,2.8081704e-06,9.678537e-06,1.641456e-07,2.29734e-05
L2864,9.28482e-06,1.9078725e-06,6.3150655e-06,4.4575427e-05,1.8038205e-05,4.8894435e-09,7.1694376e-07,2.833549e-06,1.9720756e-06,2.3973756e-05
L2883,1.7921266e-06,2.02097e-07,1.3785902e-06,2.6158523e-06,6.596674e-07,6.969203e-07,3.6411802e-07,1.1171505e-06,2.9080547e-07,4.927744e-06
L2903,3.6556492e-05,3.5447883e-06,5.9696904e-06,6.252171e-05,4.6867644e-06,3.253066e-06,3.144698e-06,4.4839107e-06,4.541507e-06,
L2906,8.0398866e-05,3.6856509e-06,1.0099378e-05,0.0001949229,1.0508229e-06,8.9098467e-07,2.856832e-06,1.795066e-06,4.872214e-06,4.1137915e-05
L2907,4.092566e-06,1.1423544e-06,2.6231428e-06,6.3414336e-07,5.2222167e-06,3.341629e-06,1.713619e-06,4.729809e-06,3.8232683e-06,2.7617643e-06
L2918,2.95114e-05,1.04937935e-05,3.9633596e-06,2.6673777e-05,1.0448159e-05,1.0056305e-05,3.968249e-06,3.1623058e-06,2.5893096e-06,4.3918553e-05
L2928,2.8013746e-05,1.4296966e-06,7.193303e-07,,,,,,,
L2936,4.2220752e-05,2.6077032e-06,2.3266883e-05,4.601694e-05,2.2024731e-05,1.4352321e-05,4.3512555e-06,1.844787e-05,9.360141e-06,5.19373e-05
L2938,9.1502443e-07,1.9428626e-07,8.468269e-07,1.1148659e-06,1.2336677e-06,4.840658e-07,1.7135972e-07,6.7554356e-07,7.999988e-07,
L2945,1.0077194e-05,3.7247082e-07,5.149035e-06,1.1626544e-05,3.657704e-06,3.3402684e-06,1.5701007e-06,4.9931696e-06,4.0483428e-08,
L2986,2.421008e-05,3.5625417e-06,3.5091653e-06,5.1734096e-06,1.1071999e-05,9.400101e-06,9.361538e-07,3.941648e-06,2.5786285e-06,1.2946053e-05
L3003,2.1750748e-07,1.3505269e-06,9.11823e-07,8.423376e-08,2.2009626e-06,1.1217271e-06,2.2114546e-07,5.6330464e-08,3.510795e-07,1.8305145e-06
L3025,8.363917e-06,2.0395964e-06,5.1279058e-06,1.4284393e-05,3.8684666e-06,3.6942656e-06,2.906911e-05,5.135269e-06,1.0235672e-06,1.6713966e-05
L3031,1.8302453e-06,9.887299e-08,1.992601e-06,3.4083023e-06,1.176446e-06,9.806645e-07,3.9733277e-07,1.5088699e-06,2.7316491e-07,1.7643579e-06
L3036,7.735833e-05,2.3011467e-05,4.8058922e-05,9.093573e-05,3.125018e-05,2.705492e-05,1.0623946e-05,3.534113e-05,4.786183e-06,0.00018071686
L3143,2.7966598e-07,2.2332824e-07,3.7089922e-07,2.4681358e-06,3.527748e-07,5.869515e-08,6.966002e-08,1.4687976e-07,1.4210673e-07,2.2311579e-06
L1019,5.893933e-06,3.576209e-05,4.987116e-06,2.417207e-05,7.619383e-08,1.126423e-05,3.0860538e-06,3.9431034e-06,5.036709e-07,0.00050315226
L1078,3.946596e-06,8.049305e-06,2.8929207e-07,0.00023865257,2.815621e-06,8.138712e-06,3.3761607e-06,2.4420442e-06,2.143439e-06,0.00014305697
L11,1.1908196e-07,3.4924597e-10,8.8766683e-10,7.679773e-09,4.802132e-10,6.148184e-10,5.7480065e-10,1.0404619e-09,3.6379788e-11,4.68317e-08
L1102,1.1454176e-07,3.3469405e-10,1.029548e-09,1.0986696e-08,4.656613e-10,6.002665e-10,3.8926373e-10,9.858923e-10,1.0913936e-11,
L1105,1.9025174e-06,5.6184945e-07,1.4589459e-06,0.00020880958,2.1602318e-07,1.5138357e-07,9.8661985e-08,1.2993405e-07,7.796916e-08,1.2461736e-05
L1109,1.3785029e-06,6.1653554e-07,9.789946e-07,0.00015701997,1.04133505e-07,1.0599615e-07,4.25498e-08,1.6880222e-08,5.5486453e-08,
L1123,9.821961e-07,9.572832e-07,1.5202677e-06,7.646508e-06,1.6492559e-06,2.3974571e-06,2.6929192e-06,5.0244853e-07,1.1104858e-06,0.0001370936
L1175,1.15185685e-07,4.8141374e-08,6.41714e-07,1.1877783e-06,2.257002e-07,3.1742456e-07,8.675852e-08,4.6724745e-07,3.1648306e-06,3.613637e-06
L1178,8.2724e-08,1.3022509e-07,2.5595e-07,7.8924495e-07,1.6138074e-07,1.832741e-07,1.3118552e-08,5.857619e-07,,
L1186,2.1167216e-07,2.2145105e-07,9.943324e-07,2.1268788e-06,3.062014e-07,4.5928755e-07,1.9636354e-07,6.930204e-07,1.0892953e-05,4.780275e-06
L1211,1.1473894e-06,3.556488e-07,1.7315615e-06,8.4453495e-06,9.07341e-07,2.191402e-06,5.1793177e-07,4.914589e-06,5.4009724e-06,0.00015842484
L1212,1.7698592e-05,1.0983873e-05,2.4447218e-09,5.920534e-06,7.5971475e-06,1.5884987e-05,6.5229833e-06,1.1469529e-06,8.426781e-06,9.1923226e-05
L1213,9.918469e-06,1.14204595e-05,5.690381e-07,1.5027472e-06,9.821029e-06,3.451435e-05,8.558331e-06,,,
L1215,1.1075463e-07,5.371112e-08,6.6508073e-07,1.1750963e-06,2.3584289e-07,3.2216485e-07,8.720963e-08,4.50862e-07,1.3009412e-07,
L1224,3.783498e-08,1.2828968e-07,3.5255216e-06,2.2924505e-06,1.0326039e-06,7.172348e-07,2.5180634e-07,3.4784898e-07,1.2994278e-06,0.00019555946
L1225,6.244518e-07,1.4377292e-07,3.372552e-07,3.6826823e-06,1.15484e-07,9.1292895e-07,1.8556602e-07,2.7458882e-06,7.174676e-07,3.164995e-05
L1229,5.5297278e-08,1.2665987e-07,3.586174e-06,2.2304012e-06,1.0465737e-06,7.0477836e-07,2.500601e-07,4.2282045e-07,8.576899e-06,3.6698766e-05
L1230,6.190967e-07,9.709038e-08,1.5017577e-06,2.7955975e-06,2.3562461e-07,6.421469e-07,9.80217e-08,2.7690548e-06,5.1191542e-05,1.5865546e-05
L1232,1.4458783e-07,8.1723556e-08,3.0484516e-06,1.2926757e-06,8.579809e-07,4.4587068e-07,1.7951243e-07,7.7905133e-07,0.00113161,0.00012937374
L1235,5.0931703e-11,2.1827873e-11,2.8376235e-10,5.2386895e-10,1.0186341e-10,1.3096724e-10,5.0931703e-11,1.9645086e-10,0.0,1.6516424e-09
L1247,3.2540993e-07,1.0532676e-07,1.870445e-06,6.051705e-06,7.193594e-07,9.952637e-07,2.484885e-07,1.4422403e-06,1.7508864e-07,
L1248,4.8748916e-08,6.600749e-08,2.1301094e-07,2.054876e-06,3.1286618e-08,5.8556907e-08,3.4691766e-08,9.004725e-08,6.056507e-08,3.7037462e-05
L1352,3.4896482e-05,8.6260843e-07,1.4117686e-06,9.896496e-06,1.3526587e-06,2.3798202e-07,2.774177e-07,5.864131e-07,5.394977e-07,
L1502,3.2170676e-05,2.8752023e-05,0.0001926641,6.717048e-05,2.1325191e-05,2.4661887e-05,6.6549983e-06,1.4232937e-06,9.6091535e-06,0.00014232076
L189,2.79324e-07,2.426168e-07,3.80016e-07,2.6929774e-06,3.6577694e-07,6.858318e-08,7.27523e-08,1.5358091e-07,1.431763e-07,2.5427507e-06
L1925,7.9116435e-05,2.2458727e-05,5.0055445e-05,8.302985e-05,3.1137373e-05,2.9262737e-05,9.959331e-06,3.9533363e-05,2.6521739e-06,0.00018279371
L241,3.4357712e-05,1.2427336e-06,2.033892e-06,1.4258316e-05,1.9488507e-06,3.4278492e-07,3.99712e-07,8.448842e-07,7.773051e-07,0.00020252808
L279,3.3733668e-06,2.6162015e-06,4.207832e-06,4.081428e-05,4.115165e-06,1.2275996e-06,7.688068e-07,1.6144477e-06,1.5563564e-06,0.00031478435
L283,5.9021113e-07,5.2989344e-07,8.5282954e-07,5.9709273e-06,8.2129554e-07,3.931491e-07,1.5394471e-07,3.2292155e-07,3.122841e-07,7.451826e-05
L284,9.699215e-08,8.434654e-09,1.9957952e-08,5.673155e-07,1.520275e-07,1.747685e-08,3.6543497e-09,7.245035e-09,5.7358193e-08,
L287,5.984679e-06,4.3381006e-06,6.9693197e-06,6.502727e-05,6.8084337e-06,3.254926e-05,1.229113e-06,2.5855843e-06,2.489891e-06,0.00042684958
L289,3.3923425e-07,2.9743387e-07,4.7901267e-07,3.402929e-06,4.6346395e-07,1.6426202e-07,8.652569e-08,1.8181163e-07,1.7536513e-07,4.5602763e-05
L3087,3.3550896e-07,3.4825644e-07,1.4528196e-06,4.283429e-06,5.174661e-07,6.814371e-07,2.9859075e-07,1.0685471e-06,3.5196717e-07,8.9846435e-06
L3091,1.7308048e-07,2.8287468e-07,4.8667425e-07,1.6602498e-06,1.500448e-07,1.6942067e-07,1.8278661e-07,3.5839912e-07,2.6624184e-07,
L3180,6.956747e-06,8.03062e-07,5.578826e-06,2.2101623e-05,3.9821607e-06,4.722242e-06,5.840848e-07,5.255715e-06,4.5950583e-06,
L337,2.115703e-06,5.7326397e-06,5.834445e-06,8.465923e-05,2.0090374e-07,4.382542e-06,4.2349857e-06,8.20987e-06,4.4092303e-08,
L338,8.7665103e-07,7.545168e-07,1.1521188e-06,7.766983e-06,1.1208467e-06,2.2741733e-07,2.7692295e-07,5.697366e-07,4.3940963e-07,
L38,5.4192496e-06,5.523907e-08,1.0066113e-05,1.735115e-05,1.01019396e-07,7.475319e-07,3.8949656e-07,2.6365364e-05,2.910092e-07,6.3701795e-05
L457,9.288895e-06,2.4795649e-05,0.00011093309,2.4613575e-05,5.2171526e-06,1.5832484e-06,8.5448846e-08,5.112274e-05,5.183567e-05,8.304196e-05
L459,7.3219417e-06,2.5916495e-05,0.000113427406,3.5762438e-05,3.4120167e-06,1.7100247e-06,3.2270327e-07,5.2085612e-05,5.296222e-05,9.054481e-05
L48,1.115317e-05,2.1013548e-05,9.560445e-05,0.00014503917,5.443697e-06,1.3973331e-06,9.0687536e-08,4.4637127e-05,4.3643988e-05,5.7294616e-05
L485,9.364798e-06,2.1555112e-05,9.680493e-05,0.00015234272,4.1432213e-06,1.453096e-06,1.7415732e-07,4.4993358e-05,4.4126296e-05,6.0890103e-05
L53,2.401881e-06,1.12009e-06,1.8675346e-06,0.00011807785,1.3354002e-06,6.9790985e-08,1.831213e-07,3.957539e-07,5.689217e-07,0.0001196863
L602,1.1030934e-06,1.3165409e-06,5.996437e-06,3.9961305e-06,1.7746934e-06,4.080357e-08,2.7549686e-07,7.605518e-05,6.7951623e-07,0.0001767466
L604,1.0429358e-06,4.384783e-07,2.9435032e-06,1.242588e-06,5.4828706e-07,8.05303e-08,3.958121e-08,2.0015374e-05,2.3568282e-07,
L727,7.486087e-07,5.521433e-06,1.3857207e-06,5.9152953e-06,1.5639525e-06,5.6481804e-07,6.996852e-07,7.1153045e-07,2.6865746e-07,
L732,7.5489515e-07,1.2850389e-05,2.739689e-06,4.08318e-06,3.1860109e-06,2.0185544e-06,5.009919e-06,1.8699357e-06,2.3088069e-07,6.6818757e-06
L733,1.46807e-07,1.4649413e-07,2.0247535e-07,1.2765886e-06,2.2591121e-07,3.8671715e-08,7.563358e-08,8.2356564e-08,7.907511e-08,1.3987592e-06
